Month,Category,shop_code,City,shop_type,Num Proj Factor,ACV Proj Factor,MKt segment3,MKt segment4,Urbanity,MKt segment5,Product_code,Vendor,Brand,Flavor,Packing_type,Size,Sub_brand,SKU,OpeningStock,Purchase,Stk1,Stk2,Price,Weights,Sale,Volume,Value,Purchase_Volume,Total_Stock_Volume,Forward_Stock_Volume,MKt segment2,MKt segment6,MKt segment7,MKt segment9
3,C,5,CityA,kioskType1,56.9375,24.65065357,Convenience,Province1,ROU,District1,266,Dr Pepper,AnW Cream Soda,Lamonade,PET,1.5 LT,Pepsi Cola Lime,(266) | AnW Cream Soda | Pepsi Cola Lime - Lamonade - 1.5 LT - Dr Pepper,9,1,2.0,8.0,100,1500,16.5,52470.5,3613.5,1500,15000,3000,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,63.94622426,95.9292017,Convenience,Province1,ROU,District1,228, Africola,Afri Cola,Cola,CAR,250 ML,Pinecola,(228) | Afri Cola | Pinecola - Cola - 250 ML -  Africola,15,0,12.0,0.0,25,250,9.5,37530.5,1913.5,0,3000,3000,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,110.5416667,75.06670978,Convenience,Province1,ROU,District1,296, Africola,Almdudler,Orange,PET,1.5 LT,Pepsi Vanilla,(296) | Almdudler | Pepsi Vanilla - Orange - 1.5 LT -  Africola,6,0,2.0,3.0,100,1500,138.5,1726992.435,4313.5,0,7500,3000,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,63.94622426,69.04249025,Convenience,Province1,ROU,District1,279,Gihauser,Barq Root Malt,Cola,PET,1 LT,Rivella Original,(279) | Barq Root Malt | Rivella Original - Cola - 1 LT - Gihauser,10,13,2.0,3.0,50,1000,80.5,3771289.751,913.5,13000,5000,2000,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,79.59327604,59.73397428,Convenience,Province1,ROU,District1,279, Africola,Big Peach Soda,Lamonade,CAR,250 ML,Rubicon Sparkling Guava,(279) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 250 ML -  Africola,20,0,0.0,0.0,25,250,116.5,38030.5,863.5,0,0,0,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,61.34090909,69.04249025,Convenience,Province1,ROU,District1,279, Africola,Big Peach Soda,Lamonade,PET,500 ML,Rubicon Sparkling Guava,(279) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 500 ML -  Africola,6,0,2.0,2.0,50,500,332.5,2197200.773,2163.5,0,2000,1000,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,25.20012163,8.209606727,Convenience,Province1,ROU,District1,136, Africola,Big Peach Soda,Lamonade,PET,1.5 LT,Rubicon Sparkling Guava,(136) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 1.5 LT -  Africola,22,0,2.0,19.0,100,1500,28.5,3463725.653,19013.5,0,31500,3000,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,79.59327604,24.49028927,Convenience,Province1,ROU,District1,1131, Africola,Big Peach Soda,Lamonade,PET,2.25 LT,Rubicon Sparkling Guava,(1131) | Big Peach Soda | Rubicon Sparkling Guava - Lamonade - 2.25 LT -  Africola,6,0,2.0,4.0,130,2250,63.5,46030.5,8188.5,0,13500,4500,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,79.59327604,64.88324923,Convenience,Province1,ROU,District1,270, Africola,Afri Cola,Cola,PET,1.5 LT,Pinecola,(270) | Afri Cola | Pinecola - Cola - 1.5 LT -  Africola,8,13,2.0,3.0,100,1500,18.5,25530.5,813.5,19500,7500,3000,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
3,C,5,CityA,kioskType1,30.75,24.65065357,Convenience,Province1,ROU,District1,197, Africola,Afri Cola,Cola,PET,2.25 LT,Pinecola,(197) | Afri Cola | Pinecola - Cola - 2.25 LT -  Africola,4,0,2.0,2.0,130,2250,54.5,657154.6169,2213.5,0,9000,4500,Rest of urban Overall,National Urban,District4 Franchise,Convenience (Urban)
