,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
 Afri Cola (Br),19.79277,19.05388,18.22078,17.34686,24.94287,19.38302,19.75917,12.07379,18.76861,20.80524,19.22364,19.89623,13.98126,6.96074,9.28679,11.26223,19.34817,19.923,18.6147,17.30534,28.87033,7.81482,11.86071,22.81041,0.0,0.0,0.0,0.0,24.15297,19.10856,24.17398,18.02214,9.83298,17.35793,14.26176,14.58304,26.33425,8.97464,22.23433,11.13736,29.17884,9.86301,12.32829,15.81864,29.97438,35.17072,15.49742,30.61519
  Cola (Fl),19.79277,19.05388,18.22078,17.34686,24.94287,19.38302,19.75917,12.07379,18.76861,20.80524,19.22364,19.89623,13.98126,6.96074,9.28679,11.26223,19.34817,19.923,18.6147,17.30534,28.87033,7.81482,11.86071,22.81041,0.0,0.0,0.0,0.0,24.15297,19.10856,24.17398,18.02214,9.83298,17.35793,14.26176,14.58304,26.33425,8.97464,22.23433,11.13736,29.17884,9.86301,12.32829,15.81864,29.97438,35.17072,15.49742,30.61519
 Almdudler (Br),7.71258,4.92115,5.10268,4.62653,17.59217,5.35804,6.60996,4.57211,4.44622,5.22431,4.07114,4.72435,9.84428,2.02414,7.01852,3.81095,7.70631,4.55947,4.73452,4.37535,8.02166,10.34307,14.43233,18.30832,0.0,0.0,0.0,0.0,11.76307,2.78392,3.57927,3.65143,2.77563,3.81107,2.13745,3.07304,8.38148,8.07888,9.82639,9.99749,0.0,0.25592,6.01994,0.0,13.14486,11.6901,11.62002,10.65332
  Orange (Fl),7.71258,4.92115,5.10268,4.62653,17.59217,5.35804,6.60996,4.57211,4.44622,5.22431,4.07114,4.72435,9.84428,2.02414,7.01852,3.81095,7.70631,4.55947,4.73452,4.37535,8.02166,10.34307,14.43233,18.30832,0.0,0.0,0.0,0.0,11.76307,2.78392,3.57927,3.65143,2.77563,3.81107,2.13745,3.07304,8.38148,8.07888,9.82639,9.99749,0.0,0.25592,6.01994,0.0,13.14486,11.6901,11.62002,10.65332
 Anw Cream Soda (Br),13.54907,11.22209,12.45796,16.73624,9.16909,9.33396,12.64781,12.66335,13.96262,12.39388,13.03624,17.81419,23.15871,7.59106,8.94772,21.4174,14.12491,11.86722,12.16986,16.91597,1.80226,2.28281,15.63065,2.84006,38.75486,7.37318,35.45005,41.31123,14.7732,15.41872,17.57827,17.0569,12.25332,13.34553,11.80785,21.61839,6.74782,6.82659,15.10989,9.01431,20.87852,4.39268,4.21853,24.13322,16.18656,2.28768,5.84992,2.83485
  Lamonade (Fl),13.54907,11.22209,12.45796,16.73624,9.16909,9.33396,12.64781,12.66335,13.96262,12.39388,13.03624,17.81419,23.15871,7.59106,8.94772,21.4174,14.12491,11.86722,12.16986,16.91597,1.80226,2.28281,15.63065,2.84006,38.75486,7.37318,35.45005,41.31123,14.7732,15.41872,17.57827,17.0569,12.25332,13.34553,11.80785,21.61839,6.74782,6.82659,15.10989,9.01431,20.87852,4.39268,4.21853,24.13322,16.18656,2.28768,5.84992,2.83485
 Barq Root Malt (Br),5.80388,7.59335,7.76447,6.0688,3.33028,2.65706,3.68998,6.85745,6.99813,7.82854,10.03011,6.16919,1.42964,16.50555,5.35502,1.90845,6.1114,8.159,8.14999,6.21101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13459,9.63247,9.3159,6.28805,3.43692,6.48788,11.48973,4.93059,0.90324,0.0,0.0,0.27125,0.45908,3.61532,1.16017,2.5596,12.26369,13.60293,6.02995,15.82809
  Cola (Fl),5.80388,7.59335,7.76447,6.0688,3.33028,2.65706,3.68998,6.85745,6.99813,7.82854,10.03011,6.16919,1.42964,16.50555,5.35502,1.90845,6.1114,8.159,8.14999,6.21101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13459,9.63247,9.3159,6.28805,3.43692,6.48788,11.48973,4.93059,0.90324,0.0,0.0,0.27125,0.45908,3.61532,1.16017,2.5596,12.26369,13.60293,6.02995,15.82809
