,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
 Afri Cola (Br),19.79277,19.05388,18.22078,17.34686,24.94287,19.38302,19.75917,12.07379,18.76861,20.80524,19.22364,19.89623,13.98126,6.96074,9.28679,11.26223,19.34817,19.923,18.6147,17.30534,28.87033,7.81482,11.86071,22.81041,0.0,0.0,0.0,0.0,24.15297,19.10856,24.17398,18.02214,9.83298,17.35793,14.26176,14.58304,26.33425,8.97464,22.23433,11.13736,29.17884,9.86301,12.32829,15.81864,29.97438,35.17072,15.49742,30.61519
  1 Lt (Si),3.30728,4.36326,2.61479,2.30879,5.04135,3.61842,3.08774,1.70235,2.82734,5.13825,2.72103,2.69018,2.72875,0.89571,0.93858,0.68055,3.48251,4.68829,2.74461,2.36289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69079,0.6525,2.10078,0.8125,4.24891,6.46751,3.42493,3.92932,0.0,0.0,0.0,0.0,20.34917,2.87276,4.02107,5.99732,5.34804,11.864,2.98326,3.33546
  1.5 Lt (Si),7.06877,6.66186,6.22606,8.97931,2.67487,4.12683,6.62499,3.5853,8.48524,8.12952,6.01641,11.11212,6.49024,2.47401,6.39748,7.75552,6.7359,6.83615,6.17151,8.84769,13.67647,4.5728,8.44517,17.41459,0.0,0.0,0.0,0.0,8.33462,6.00347,6.64006,8.15202,2.95359,6.52207,5.45183,8.57209,14.23296,4.33266,11.20499,8.49737,7.78596,3.24884,3.79004,7.32553,10.94513,11.76319,4.63412,14.72771
  2.25 Lt (Si),6.45092,4.36884,5.67548,3.98851,15.33043,6.22754,7.08337,3.78953,4.3353,4.43597,5.93805,4.4418,0.0,0.0,0.9702,0.0,6.79272,4.69429,5.95728,4.08197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44646,8.59998,10.61975,6.32561,0.44628,0.90447,1.55236,0.64462,1.20202,0.58752,7.55905,0.30829,0.0,0.0,2.34024,0.0,12.756,8.19679,5.78343,11.28914
  250 Ml (Si),0.85028,1.75285,1.67819,0.70327,1.2382,2.20984,2.16988,0.87403,0.70475,1.76872,1.752,0.67898,1.11027,0.68283,0.12969,0.28688,0.81312,1.73369,1.61869,0.67264,1.58944,2.1266,3.3166,2.39819,0.0,0.0,0.0,0.0,0.89418,1.77998,2.29633,0.53776,0.74637,2.14888,1.62599,0.64377,1.13182,1.35718,1.21673,0.83849,0.86258,0.51355,0.45619,1.44998,0.81229,1.46386,1.67481,1.16248
  500 Ml (Si),2.11552,1.90706,2.02626,1.36699,0.65801,3.20038,0.79319,2.12258,2.41596,1.33277,2.79615,0.97315,3.652,2.90819,0.85084,2.53929,1.52393,1.97059,2.12261,1.34015,13.60442,1.11542,0.09894,2.99763,0.0,0.0,0.0,0.0,1.78692,2.07263,2.51706,2.19425,1.43783,1.315,2.20666,0.79324,9.76744,2.69728,2.25356,1.49321,0.18114,3.22786,1.72076,1.04581,0.11292,1.88288,0.4218,0.1004
 Almdudler (Br),7.71258,4.92115,5.10268,4.62653,17.59217,5.35804,6.60996,4.57211,4.44622,5.22431,4.07114,4.72435,9.84428,2.02414,7.01852,3.81095,7.70631,4.55947,4.73452,4.37535,8.02166,10.34307,14.43233,18.30832,0.0,0.0,0.0,0.0,11.76307,2.78392,3.57927,3.65143,2.77563,3.81107,2.13745,3.07304,8.38148,8.07888,9.82639,9.99749,0.0,0.25592,6.01994,0.0,13.14486,11.6901,11.62002,10.65332
  1 Lt (Si),1.83571,1.64828,0.48097,1.29221,6.33175,1.78001,0.53289,1.17986,0.62426,1.83952,0.4794,1.45697,0.0,0.12513,0.367,0.0,1.93297,1.77106,0.50485,1.32249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53463,0.03972,0.20909,0.10556,0.53565,2.23161,0.64265,2.40161,0.0,0.0,0.0,0.0,0.0,0.25592,0.69775,0.0,6.47154,5.7994,0.95999,3.78823
