,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,4474.51241,3672.11396,3319.54028,3752.64857,983.82372,807.27312,903.29896,955.12179,3179.08298,2483.23993,2032.53969,2554.82427,311.60571,381.60091,383.70163,242.70251,4249.36367,3417.53217,3162.51773,3666.7271,219.79514,240.63434,136.1889,72.01651,5.3536,13.94745,20.83365,13.90496,1774.93927,1202.04479,1019.77084,1523.75108,1670.41743,1322.26034,1155.22222,1344.00787,389.69754,442.82235,390.00847,356.10602,203.65412,186.5869,318.00619,143.22177,435.80405,518.39958,436.53256,385.56183
 Apple (Fl),145.84745,71.27465,49.77574,73.42462,9.24117,12.75297,17.96018,34.8333,132.75608,35.69656,23.34819,31.29347,3.8502,22.82512,8.46737,7.29785,141.1387,66.22501,46.70642,69.9286,4.70875,5.04964,3.06932,3.49602,0.0,0.0,0.0,0.0,4.68625,9.4253,1.68372,13.50496,117.23042,12.61507,22.88705,33.33249,22.13571,45.84952,22.01524,26.17986,0.0,0.0,0.0,0.0,1.79507,3.38476,3.18973,0.40731
  Diet Coke (Br),37.79293,70.57713,46.41803,71.02193,9.24117,12.75297,17.96018,34.8333,24.70156,34.99904,19.99048,28.89078,3.8502,22.82512,8.46737,7.29785,33.08418,65.52749,43.34871,67.52591,4.70875,5.04964,3.06932,3.49602,0.0,0.0,0.0,0.0,4.68625,9.4253,1.68372,13.50496,9.1759,11.91755,19.52934,30.9298,22.13571,45.84952,22.01524,26.17986,0.0,0.0,0.0,0.0,1.79507,3.38476,3.18973,0.40731
   1 Lt (Si),1.67983,1.26578,6.69771,7.78953,1.67983,1.26578,6.69771,7.78953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67983,1.26578,6.69771,7.78953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67983,1.26578,6.69771,7.78953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   1.5 Lt (Si),24.11028,51.70654,23.61325,51.28178,2.73585,8.4366,6.36971,21.87569,18.45539,24.4918,13.02104,22.37091,2.91904,18.77814,4.2225,7.03518,20.1532,50.14564,22.74742,49.94094,3.95708,1.5609,0.86583,1.34084,0.0,0.0,0.0,0.0,3.12585,9.30532,0.15393,12.77242,2.71112,7.13157,8.89736,17.67432,18.27331,33.12087,14.14704,20.83504,0.0,0.0,0.0,0.0,0.0,2.14878,0.41492,0.0
   300 Ml (Si),1.12448,3.32315,1.70794,0.91866,0.0,0.0,0.0,0.0,1.12448,3.32315,1.70794,0.91866,0.0,0.0,0.0,0.0,0.61315,2.25417,0.56285,0.63617,0.51133,1.06898,1.14509,0.28249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12448,3.32315,1.70794,0.91866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   500 Ml (Si),10.87834,14.28166,14.39913,11.03196,4.82549,3.05059,4.89276,5.16808,5.12169,7.18409,5.2615,5.60121,0.93116,4.04698,4.24487,0.26267,10.638,11.8619,13.34073,9.15927,0.24034,2.41976,1.0584,1.87269,0.0,0.0,0.0,0.0,1.5604,0.11998,1.52979,0.73254,4.78495,3.5202,3.93427,5.46595,2.73792,9.4055,6.16026,4.42616,0.0,0.0,0.0,0.0,1.79507,1.23598,2.77481,0.40731
  Orangina (Br),108.05452,0.69752,3.35771,2.40269,0.0,0.0,0.0,0.0,108.05452,0.69752,3.35771,2.40269,0.0,0.0,0.0,0.0,108.05452,0.69752,3.35771,2.40269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.05452,0.69752,3.35771,2.40269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
   1.5 Lt (Si),108.05452,0.69752,3.35771,2.40269,0.0,0.0,0.0,0.0,108.05452,0.69752,3.35771,2.40269,0.0,0.0,0.0,0.0,108.05452,0.69752,3.35771,2.40269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.05452,0.69752,3.35771,2.40269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
