,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,308.21814,256.19186,230.51388,255.71529,68.52176,60.23556,66.2706,67.70293,216.31003,170.71985,137.9051,170.59142,23.38635,25.23645,26.33818,17.42094,290.79898,237.63354,218.71253,248.81792,17.06225,17.62849,10.41244,5.97037,0.35691,0.92983,1.38891,0.927,118.33825,79.54576,68.71273,97.32184,116.85992,95.11535,80.05427,94.5515,31.16315,34.46764,30.00074,28.44524,14.36855,11.75148,20.80549,9.92278,27.48827,35.31163,30.94065,25.47393
 Apple (Fl),10.12108,5.34271,3.8776,5.30131,0.78254,0.95611,1.38276,2.52046,9.05082,2.73002,1.78885,2.28557,0.28772,1.65658,0.70599,0.49528,9.78211,4.88977,3.59953,4.9964,0.33897,0.45294,0.27807,0.30491,0.0,0.0,0.0,0.0,0.36443,0.63235,0.16324,0.92474,7.98047,0.96257,1.67927,2.43034,1.59667,3.48094,1.72995,1.9055,0.0,0.0,0.0,0.0,0.17951,0.26685,0.30514,0.04073
  1 Lt (Si),0.11759,0.0886,0.46884,0.54527,0.11759,0.0886,0.46884,0.54527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11759,0.0886,0.46884,0.54527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11759,0.0886,0.46884,0.54527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  1.5 Lt (Si),8.81099,3.4936,1.79805,3.57896,0.1824,0.56244,0.42464,1.45838,8.43399,1.67928,1.09191,1.65157,0.1946,1.25188,0.2815,0.46901,8.54718,3.38954,1.74033,3.48957,0.26381,0.10406,0.05772,0.08939,0.0,0.0,0.0,0.0,0.20839,0.62035,0.01026,0.85149,7.38438,0.52194,0.817,1.33847,1.21822,2.20806,0.94313,1.389,0.0,0.0,0.0,0.0,0.0,0.14325,0.02766,0.0
  300 Ml (Si),0.11244,0.33232,0.17079,0.09187,0.0,0.0,0.0,0.0,0.11244,0.33232,0.17079,0.09187,0.0,0.0,0.0,0.0,0.06131,0.22542,0.05628,0.06362,0.05113,0.1069,0.11451,0.02825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11244,0.33232,0.17079,0.09187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  500 Ml (Si),1.08006,1.42819,1.43992,1.08521,0.48255,0.30507,0.48928,0.51681,0.50439,0.71842,0.52615,0.54213,0.09312,0.4047,0.42449,0.02627,1.05603,1.18621,1.33408,0.89794,0.02403,0.24198,0.10584,0.18727,0.0,0.0,0.0,0.0,0.15604,0.012,0.15298,0.07325,0.4785,0.35203,0.39343,0.5466,0.26601,0.94056,0.61603,0.42463,0.0,0.0,0.0,0.0,0.17951,0.1236,0.27748,0.04073
 Citrus (Fl),39.47789,28.18782,18.26622,20.14882,7.4514,8.60958,6.53017,7.90667,29.45626,17.04948,10.11341,9.8739,2.57023,2.52876,1.62264,2.36825,38.66765,25.85381,18.06358,19.51109,0.63645,1.86846,0.1514,0.39376,0.17379,0.46555,0.05124,0.24397,4.38497,5.93174,3.6553,5.01615,29.13078,17.55619,10.96577,9.40334,1.96361,2.6331,1.36971,2.94507,2.60285,1.51344,0.54826,1.23612,1.39568,0.55335,1.72718,1.54814
  1 Lt (Si),5.15595,3.72772,5.25169,7.13103,1.59522,0.82131,0.89825,4.16948,3.21699,2.83257,4.08316,2.76203,0.34374,0.07384,0.27028,0.19952,5.15595,3.72772,5.25169,7.13103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13567,0.68005,0.20669,0.1988,4.35039,2.79489,4.32258,5.46777,0.0,0.0,0.0,0.0,0.25207,0.03192,0.06359,0.17795,0.41782,0.22086,0.65883,1.28651
  1.5 Lt (Si),27.07141,16.54549,7.84926,6.2295,2.84953,4.10632,3.28058,1.47664,22.83694,10.86133,4.2316,3.52994,1.38494,1.57784,0.33708,1.22292,26.41651,14.48343,7.73078,5.83892,0.48111,1.59651,0.06724,0.14661,0.17379,0.46555,0.05124,0.24397,1.52009,2.51429,1.57565,2.32993,22.7914,10.67597,4.68881,1.80399,0.98413,2.16049,0.38004,1.82587,1.15649,1.11141,0.24006,0.2193,0.6193,0.08333,0.9647,0.05041
