,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
 Apple (Fl),3.25952,1.94097,1.49948,1.95661,0.93931,1.57976,1.98829,3.647,4.17592,1.4375,1.14872,1.22488,1.2356,5.98141,2.20676,3.00691,3.32141,1.9378,1.47687,1.90711,2.14234,2.09847,2.25372,4.85447,0.0,0.0,0.0,0.0,0.26402,0.78411,0.16511,0.8863,7.01803,0.95405,1.98118,2.48008,5.68023,10.35393,5.64481,7.3517,0.0,0.0,0.0,0.0,0.4119,0.65292,0.7307,0.10564
  1 Lt (Si),0.03754,0.03447,0.20177,0.20757,0.17075,0.1568,0.74147,0.81555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03953,0.03704,0.21178,0.21244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10056,0.09573,0.57978,0.57957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  1.5 Lt (Si),2.95373,1.42708,0.81249,1.43058,0.27808,1.04507,0.70516,2.29036,3.97945,1.01437,0.80583,0.96968,0.93677,4.92088,1.10046,2.89868,3.0171,1.48772,0.82545,1.42753,1.80035,0.64866,0.63576,1.86185,0.0,0.0,0.0,0.0,0.17611,0.77412,0.01509,0.83822,6.63102,0.5921,1.06084,1.49382,4.6891,7.47949,3.62737,5.8508,0.0,0.0,0.0,0.0,0.0,0.4145,0.09505,0.0
  300 Ml (Si),0.02513,0.0905,0.05145,0.02448,0.0,0.0,0.0,0.0,0.03537,0.13382,0.08403,0.03596,0.0,0.0,0.0,0.0,0.01443,0.06596,0.0178,0.01735,0.23264,0.44423,0.84081,0.39226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28855,0.75045,0.43792,0.25797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  500 Ml (Si),0.24312,0.38892,0.43377,0.29398,0.49048,0.37789,0.54165,0.54109,0.16111,0.2893,0.25886,0.21924,0.29883,1.06053,1.10629,0.10823,0.25034,0.34709,0.42184,0.24979,0.10935,1.00558,0.77716,2.60036,0.0,0.0,0.0,0.0,0.08791,0.00998,0.15001,0.04807,0.28645,0.26623,0.34056,0.40669,0.70258,2.12399,1.57952,1.24293,0.0,0.0,0.0,0.0,0.4119,0.23842,0.63565,0.10564
 Citrus (Fl),12.62673,10.72566,7.52893,7.1076,10.30852,13.72494,9.90211,11.22529,13.43343,9.94165,6.91274,5.03597,11.71565,9.48266,5.20612,12.7102,13.03161,10.54521,7.82077,7.05204,3.92052,11.00815,1.33923,6.22732,48.69266,50.06844,3.68894,26.31795,3.44313,6.92707,4.71307,4.59043,25.77296,18.47117,13.41837,9.48335,5.81262,8.23529,3.85183,10.47095,15.92499,12.53311,2.45421,8.17889,4.1926,1.25429,5.50344,5.26969
  1 Lt (Si),1.63333,1.43946,2.23313,2.6899,2.25817,1.40456,1.37886,6.13897,1.4456,1.62953,2.84438,1.54443,1.57589,0.27644,1.00629,1.17438,1.71988,1.54669,2.34401,2.75293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10919,0.8082,0.28955,0.18639,3.72052,3.0196,5.34539,5.81178,0.0,0.0,0.0,0.0,1.7682,0.24441,0.28566,1.77495,1.23826,0.53254,1.95113,4.52572
  1.5 Lt (Si),9.25056,6.99686,3.67668,2.51536,4.37284,7.82232,5.77566,2.34086,11.01331,6.85064,3.18917,2.10154,6.66678,6.20217,1.31775,7.55818,9.50952,6.61301,3.80304,2.41453,3.28336,9.95186,0.74053,3.05349,48.69266,50.06844,3.68894,26.31795,1.28463,3.13752,2.31766,2.29362,20.93593,12.77283,6.46128,2.08406,3.78802,7.31834,1.46163,7.69095,8.51803,8.93475,1.13234,2.2968,2.13158,0.24111,3.31487,0.19613
