,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
,3,3,3,3,3,3,3,3,3,3,3,3
Category,19.42262,19.13264,21.81297,52.08214,18.42818,20.11197,17.4495,19.60103,18.22115,21.53484,15.89418,21.8894
 1 Lt (Si),11.11469,11.99995,,,13.51819,10.75986,6.89559,11.79521,12.86528,,12.09917,17.1317
  Afri Cola (Br),3.63331,3.92269,,,3.84159,3.46422,4.21595,1.14498,4.83497,,9.16923,11.65625
    Africola (Ve),3.63331,3.92269,0.0,0.0,3.84159,3.46422,4.21595,1.14498,4.83497,0.0,9.16923,11.65625
  Almdudler (Br),1.35569,1.46367,,,1.37335,1.54635,,0.41173,2.07719,,,5.33741
    Africola (Ve),1.35569,1.46367,0.0,0.0,1.37335,1.54635,0.0,0.41173,2.07719,0.0,0.0,5.33741
  Anw Cream Soda (Br),3.01285,3.25282,,,2.22787,3.06064,4.85755,1.84569,5.6137,,2.4488,3.21168
   Dr Pepper (Ve),3.01285,3.25282,0.0,0.0,2.22787,3.06064,4.85755,1.84569,5.6137,0.0,2.4488,3.21168
  Barq Root Malt (Br),3.30108,3.564,,,4.40772,3.2024,0.91505,7.16943,0.54752,,1.6529,2.55789
   Gihauser (Ve),3.30108,3.564,0.0,0.0,4.40772,3.2024,0.91505,7.16943,0.54752,0.0,1.6529,2.55789
  Big Peach Soda (Br),3.66795,3.96009,,,4.42531,3.89731,,1.80704,5.65698,,4.24509,9.13656
    Africola (Ve),3.66795,3.96009,0.0,0.0,4.42531,3.89731,0.0,1.80704,5.65698,0.0,4.24509,9.13656
  Big Red Soda (Br),3.03556,3.27734,,,4.03997,2.84114,1.58866,6.11246,0.85776,,2.86969,2.34257
   Gihauser (Ve),3.03556,3.27734,0.0,0.0,4.03997,2.84114,1.58866,6.11246,0.85776,0.0,2.86969,2.34257
  Bluna Orange (Br),3.25194,3.51095,,,1.72817,3.72626,4.21755,1.02012,6.77585,,4.81678,3.75472
   Dr Pepper (Ve),3.25194,3.51095,0.0,0.0,1.72817,3.72626,4.21755,1.02012,6.77585,0.0,4.81678,3.75472
  Chupa Chups Grape (Br),2.36607,2.55452,,,2.11675,2.45281,2.46143,0.22133,5.19914,,5.83839,2.64594
   Dr Pepper (Ve),2.36607,2.55452,0.0,0.0,2.11675,2.45281,2.46143,0.22133,5.19914,0.0,5.83839,2.64594
  Chupa Chups Orange (Br),0.68298,0.73738,,,,1.05837,,1.10968,0.75686,,,
   Gihauser (Ve),0.68298,0.73738,0.0,0.0,0.0,1.05837,0.0,1.10968,0.75686,0.0,0.0,0.0
  Crush Orange Soda (Br),2.2544,2.43396,,,4.147,1.8192,,5.18358,,,,2.49527
   Gihauser (Ve),2.2544,2.43396,0.0,0.0,4.147,1.8192,0.0,5.18358,0.0,0.0,0.0,2.49527
  Crush Strawberry Soda (Br),2.26973,2.45051,,,3.8414,1.33135,4.35233,0.73367,4.39368,,3.04507,3.87907
   Dr Pepper (Ve),2.26973,2.45051,0.0,0.0,3.8414,1.33135,4.35233,0.73367,4.39368,0.0,3.04507,3.87907
  Diet Coke (Br),0.14602,0.15765,,,0.56046,,,,0.44021,,,
   Munaken (Ve),0.14602,0.15765,0.0,0.0,0.56046,0.0,0.0,0.0,0.44021,0.0,0.0,0.0
  Dr Pepper Cherry (Br),0.14559,0.15718,,,0.5588,,,,0.43891,,,
   Dr Pepper (Ve),0.14559,0.15718,0.0,0.0,0.5588,0.0,0.0,0.0,0.43891,0.0,0.0,0.0
  Dr Pepper Diet (Br),0.03611,0.03899,,,0.13861,,,,0.10887,,,
   Munaken (Ve),0.03611,0.03899,0.0,0.0,0.13861,0.0,0.0,0.0,0.10887,0.0,0.0,0.0
  Fanta Apple (Br),0.67131,0.72478,,,0.42662,0.4429,2.91411,0.73427,,,7.39649,
   Mechou (Ve),0.67131,0.72478,0.0,0.0,0.42662,0.4429,2.91411,0.73427,0.0,0.0,7.39649,0.0
  Gazoz Soda (Br),0.32668,0.35269,,,,0.23178,1.88116,0.38426,,,3.39804,
   Mechou (Ve),0.32668,0.35269,0.0,0.0,0.0,0.23178,1.88116,0.38426,0.0,0.0,3.39804,0.0
 1.5 Lt (Si),15.42765,15.05628,18.7119,52.08214,14.53141,16.23111,12.40064,14.3373,14.60266,18.24625,14.56532,19.33552
  Afri Cola (Br),9.12041,8.94596,11.79803,,7.83293,9.71443,8.61159,10.51172,5.26829,10.91738,9.88032,13.96107
    Africola (Ve),9.12041,8.94596,11.79803,0.0,7.83293,9.71443,8.61159,10.51172,5.26829,10.91738,9.88032,13.96107
