,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
,3,3,3,3,3,3,3,3,3,3,3,3
Category,4474.51241,4249.36367,219.79514,5.3536,983.82372,3179.08298,311.60571,1774.93927,1670.41743,389.69754,203.65412,435.80405
 1 Lt (Si),820.05268,820.05268,0.0,0.0,256.19496,515.47954,48.37818,311.93592,330.15059,0.0,77.77281,100.19336
  Afri Cola (Br),147.98452,147.98452,0.0,0.0,49.59801,89.88356,8.50295,12.26113,70.97451,0.0,41.44192,23.30696
    Africola (Ve),147.98452,147.98452,0.0,0.0,49.59801,89.88356,8.50295,12.26113,70.97451,0.0,41.44192,23.30696
  Almdudler (Br),82.13899,82.13899,0.0,0.0,62.29321,19.84578,0.0,44.98822,8.94754,0.0,0.0,28.20323
    Africola (Ve),82.13899,82.13899,0.0,0.0,62.29321,19.84578,0.0,44.98822,8.94754,0.0,0.0,28.20323
  Anw Cream Soda (Br),75.09192,75.09192,0.0,0.0,15.16885,41.26688,18.65619,15.25882,47.13878,0.0,8.95591,3.73841
   Dr Pepper (Ve),75.09192,75.09192,0.0,0.0,15.16885,41.26688,18.65619,15.25882,47.13878,0.0,8.95591,3.73841
  Barq Root Malt (Br),123.16149,123.16149,0.0,0.0,28.8931,93.33346,0.93493,103.12434,8.73605,0.0,0.93493,10.36617
   Gihauser (Ve),123.16149,123.16149,0.0,0.0,28.8931,93.33346,0.93493,103.12434,8.73605,0.0,0.93493,10.36617
  Big Peach Soda (Br),74.81052,74.81052,0.0,0.0,11.9779,62.83262,0.0,10.30979,48.11064,0.0,3.09657,13.29352
    Africola (Ve),74.81052,74.81052,0.0,0.0,11.9779,62.83262,0.0,10.30979,48.11064,0.0,3.09657,13.29352
  Big Red Soda (Br),71.40772,71.40772,0.0,0.0,21.04804,47.21488,3.1448,55.06502,5.71843,0.0,3.1448,7.47947
   Gihauser (Ve),71.40772,71.40772,0.0,0.0,21.04804,47.21488,3.1448,55.06502,5.71843,0.0,3.1448,7.47947
  Bluna Orange (Br),73.08377,73.08377,0.0,0.0,22.21639,45.95683,4.91055,1.93812,62.14826,0.0,3.60102,5.39637
   Dr Pepper (Ve),73.08377,73.08377,0.0,0.0,22.21639,45.95683,4.91055,1.93812,62.14826,0.0,3.60102,5.39637
  Chupa Chups Grape (Br),54.4837,54.4837,0.0,0.0,10.75782,40.28985,3.43603,2.95275,41.80052,0.0,8.8552,0.87523
   Dr Pepper (Ve),54.4837,54.4837,0.0,0.0,10.75782,40.28985,3.43603,2.95275,41.80052,0.0,8.8552,0.87523
  Chupa Chups Orange (Br),15.93627,15.93627,0.0,0.0,0.0,15.93627,0.0,14.72803,1.20824,0.0,0.0,0.0
   Gihauser (Ve),15.93627,15.93627,0.0,0.0,0.0,15.93627,0.0,14.72803,1.20824,0.0,0.0,0.0
  Crush Orange Soda (Br),25.28163,25.28163,0.0,0.0,13.86404,11.41759,0.0,22.18797,0.0,0.0,0.0,3.09366
   Gihauser (Ve),25.28163,25.28163,0.0,0.0,13.86404,11.41759,0.0,22.18797,0.0,0.0,0.0,3.09366
  Crush Strawberry Soda (Br),40.56783,40.56783,0.0,0.0,8.45341,28.23899,3.87543,9.8589,26.05906,0.0,0.20953,4.44034
   Dr Pepper (Ve),40.56783,40.56783,0.0,0.0,8.45341,28.23899,3.87543,9.8589,26.05906,0.0,0.20953,4.44034
  Diet Coke (Br),1.67983,1.67983,0.0,0.0,1.67983,0.0,0.0,0.0,1.67983,0.0,0.0,0.0
   Munaken (Ve),1.67983,1.67983,0.0,0.0,1.67983,0.0,0.0,0.0,1.67983,0.0,0.0,0.0
  Dr Pepper Cherry (Br),5.75811,5.75811,0.0,0.0,5.75811,0.0,0.0,0.0,5.75811,0.0,0.0,0.0
   Dr Pepper (Ve),5.75811,5.75811,0.0,0.0,5.75811,0.0,0.0,0.0,5.75811,0.0,0.0,0.0
  Dr Pepper Diet (Br),1.87062,1.87062,0.0,0.0,1.87062,0.0,0.0,0.0,1.87062,0.0,0.0,0.0
   Munaken (Ve),1.87062,1.87062,0.0,0.0,1.87062,0.0,0.0,0.0,1.87062,0.0,0.0,0.0
  Fanta Apple (Br),24.61264,24.61264,0.0,0.0,2.61563,18.01595,3.98106,18.01595,0.0,0.0,6.59669,0.0
   Mechou (Ve),24.61264,24.61264,0.0,0.0,2.61563,18.01595,3.98106,18.01595,0.0,0.0,6.59669,0.0
  Gazoz Soda (Br),2.18312,2.18312,0.0,0.0,0.0,1.24688,0.93624,1.24688,0.0,0.0,0.93624,0.0
   Mechou (Ve),2.18312,2.18312,0.0,0.0,0.0,1.24688,0.93624,1.24688,0.0,0.0,0.93624,0.0
 1.5 Lt (Si),2047.00729,1879.88031,161.77338,5.3536,272.25275,1590.555,184.19954,506.53213,1061.61791,271.64143,90.78615,116.42967
  Afri Cola (Br),316.29299,286.23277,30.06022,0.0,26.31605,269.75297,20.22397,147.93439,49.33735,55.46551,15.85642,47.69932
    Africola (Ve),316.29299,286.23277,30.06022,0.0,26.31605,269.75297,20.22397,147.93439,49.33735,55.46551,15.85642,47.69932
  Almdudler (Br),162.10449,147.64037,14.46412,0.0,48.15622,84.73148,29.21679,89.10985,34.2011,22.74658,0.0,16.04696
    Africola (Ve),162.10449,147.64037,14.46412,0.0,48.15622,84.73148,29.21679,89.10985,34.2011,22.74658,0.0,16.04696
  Anw Cream Soda (Br),227.65981,222.93208,2.65295,2.07478,30.61545,164.60845,32.43591,61.49344,119.05943,19.92458,24.21126,2.9711
   Dr Pepper (Ve),227.65981,222.93208,2.65295,2.07478,30.61545,164.60845,32.43591,61.49344,119.05943,19.92458,24.21126,2.9711
  Barq Root Malt (Br),19.87815,19.87815,0.0,0.0,2.62867,15.45081,1.79867,8.5013,1.20172,1.79867,0.0,8.37646
   Gihauser (Ve),19.87815,19.87815,0.0,0.0,2.62867,15.45081,1.79867,8.5013,1.20172,1.79867,0.0,8.37646
  Big Peach Soda (Br),223.92082,208.88659,15.03423,0.0,60.63406,139.46903,23.81773,85.38102,92.11883,26.07953,7.20765,13.13379
    Africola (Ve),223.92082,208.88659,15.03423,0.0,60.63406,139.46903,23.81773,85.38102,92.11883,26.07953,7.20765,13.13379
  Big Red Soda (Br),18.51557,18.51557,0.0,0.0,3.0745,10.00158,5.43949,0.82062,0.61216,5.43949,0.0,11.6433
   Gihauser (Ve),18.51557,18.51557,0.0,0.0,3.0745,10.00158,5.43949,0.82062,0.61216,5.43949,0.0,11.6433
  Bluna Orange (Br),413.91745,404.09398,7.21666,2.60681,43.02101,350.12237,20.77407,22.80137,349.71743,14.76182,17.34732,9.28951
   Dr Pepper (Ve),413.91745,404.09398,7.21666,2.60681,43.02101,350.12237,20.77407,22.80137,349.71743,14.76182,17.34732,9.28951
  Chupa Chups Grape (Br),229.4632,143.11775,86.34545,0.0,21.82889,199.93684,7.69747,13.39115,115.30368,95.57301,3.43049,1.76487
