,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
,3,3,3,3,3,3,3,3,3,3,3,3
Category,19.42262,19.13264,21.81297,52.08214,18.42818,20.11197,17.4495,19.60103,18.22115,21.53484,15.89418,21.8894
 1 Lt (Si),11.11469,11.99995,,,13.51819,10.75986,6.89559,11.79521,12.86528,,12.09917,17.1317
  Apple (Fl),0.14602,0.15765,0.0,0.0,0.56046,0.0,0.0,0.0,0.44021,0.0,0.0,0.0
  Citrus (Fl),3.25194,3.51095,0.0,0.0,1.72817,3.72626,4.21755,1.02012,6.77585,0.0,4.81678,3.75472
  Cola (Fl),7.45613,8.04999,0.0,0.0,7.54518,7.85678,4.46348,7.90331,7.96882,0.0,12.09917,11.65625
  Lamonade (Fl),7.97127,8.60616,0.0,0.0,8.35646,8.12338,5.86264,8.12084,10.01747,0.0,7.64313,11.47895
  Lychee (Fl),0.03611,0.03899,0.0,0.0,0.13861,0.0,0.0,0.0,0.10887,0.0,0.0,0.0
  Orange (Fl),5.63708,6.08606,0.0,0.0,8.43005,4.69691,4.35233,5.91725,6.47087,0.0,3.04507,10.84245
  Pomegranate (Fl),0.68298,0.73738,0.0,0.0,0.0,1.05837,0.0,1.10968,0.75686,0.0,0.0,0.0
 1.5 Lt (Si),15.42765,15.05628,18.7119,52.08214,14.53141,16.23111,12.40064,14.3373,14.60266,18.24625,14.56532,19.33552
  Apple (Fl),1.38196,1.40298,1.16621,0.0,2.15415,1.1749,0.66433,1.1525,2.00321,2.03622,0.0,0.0
  Citrus (Fl),4.84389,4.60449,6.12328,47.91786,5.41573,4.81233,3.47775,3.10662,7.2802,5.33237,5.07646,2.64594
  Cola (Fl),11.39815,11.14928,15.14861,0.0,10.95719,11.63609,10.98752,11.11012,9.58047,13.6216,12.69836,15.12548
  Lamonade (Fl),10.25914,9.89476,13.22917,52.08214,9.79977,10.66219,8.76769,8.56494,10.05757,14.5359,10.89309,11.61336
  Lychee (Fl),0.3243,0.35013,0.0,0.0,1.10615,0.05596,0.0,0.0,0.97769,0.0,0.0,0.0
  Orange (Fl),9.27698,9.25282,7.74917,52.08214,8.94115,10.06541,4.80228,8.12905,10.0538,11.09283,0.69286,13.45859
  Pomegranate (Fl),0.13979,0.15092,0.0,0.0,0.0,0.21662,0.0,0.0,0.42142,0.0,0.0,0.0
 2.25 Lt (Si),7.02678,7.58644,,,6.44087,7.86334,2.91411,9.50375,4.9434,1.49591,5.26392,12.81499
  Citrus (Fl),0.63536,0.68597,0.0,0.0,1.54795,0.30612,0.36667,1.54363,0.0,0.0,0.66234,0.0
  Cola (Fl),5.09422,5.49996,0.0,0.0,4.07632,6.15147,0.66433,6.14906,4.09937,1.49591,1.20001,11.39217
  Lamonade (Fl),4.30091,4.64347,0.0,0.0,3.20579,5.2736,0.66433,5.56924,4.29307,1.0701,1.20001,5.32522
  Orange (Fl),2.45749,2.65322,0.0,0.0,3.46091,1.98576,2.91411,4.44546,0.42142,0.0,5.26392,3.29884
 250 Ml (Si),12.4886,12.21899,16.55767,,13.63407,11.83388,13.80642,12.48182,12.6006,11.8935,12.77298,12.79693
  Citrus (Fl),4.61608,4.53029,5.93852,0.0,5.90524,3.79346,6.68709,5.67041,3.70692,5.11359,4.29196,2.95481
  Cola (Fl),9.71699,9.28906,15.73989,0.0,9.3461,9.94396,9.18761,8.43759,9.99395,11.13915,10.81562,11.4144
  Lamonade (Fl),8.39691,8.59202,6.20343,0.0,10.19998,6.94688,13.34617,8.33046,9.768,6.02004,8.57769,7.08506
  Orange (Fl),4.07138,3.90647,6.40645,0.0,5.24972,3.18376,6.89452,4.1743,2.66147,6.30214,5.61754,4.62401
 300 Ml (Si),1.1275,1.12429,1.2181,,0.9636,1.04507,2.14601,,1.51372,4.08341,,0.90797
  Apple (Fl),0.22746,0.15257,1.2181,0.0,0.0,0.35249,0.0,0.0,0.0,1.72247,0.0,0.0
  Cola (Fl),0.53964,0.58262,0.0,0.0,0.9636,0.13411,2.14601,0.0,0.75686,1.87187,0.0,0.43625
  Lamonade (Fl),0.40062,0.43253,0.0,0.0,0.0,0.38904,1.58866,0.0,0.0,3.03369,0.0,0.0
  Lychee (Fl),0.25105,0.27105,0.0,0.0,0.0,0.38904,0.0,0.0,0.75686,0.0,0.0,0.0
  Pomegranate (Fl),0.08615,0.09301,0.0,0.0,0.0,0.1335,0.0,0.0,0.0,0.0,0.0,0.90797
 345 Ml (Si),2.10406,2.27165,,,0.71876,2.58129,2.66658,1.29454,3.97893,,4.81678,0.30887
  Citrus (Fl),0.53301,0.57546,0.0,0.0,0.53654,0.60935,0.0,0.09278,1.49802,0.0,0.0,0.0
