,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
,3,3,3,3,3,3,3,3,3,3,3,3
Category,4474.51241,4249.36367,219.79514,5.3536,983.82372,3179.08298,311.60571,1774.93927,1670.41743,389.69754,203.65412,435.80405
 1 Lt (Si),820.05268,820.05268,0.0,0.0,256.19496,515.47954,48.37818,311.93592,330.15059,0.0,77.77281,100.19336
  Apple (Fl),1.67983,1.67983,0.0,0.0,1.67983,0.0,0.0,0.0,1.67983,0.0,0.0,0.0
  Citrus (Fl),73.08377,73.08377,0.0,0.0,22.21639,45.95683,4.91055,1.93812,62.14826,0.0,3.60102,5.39637
  Cola (Fl),350.24235,350.24235,0.0,0.0,91.86456,241.52282,16.85497,136.35417,121.51108,0.0,57.82874,34.54836
  Lamonade (Fl),229.25139,229.25139,0.0,0.0,53.9529,152.56126,22.73723,81.88051,106.72596,0.0,16.13352,24.5114
  Lychee (Fl),1.87062,1.87062,0.0,0.0,1.87062,0.0,0.0,0.0,1.87062,0.0,0.0,0.0
  Orange (Fl),147.98845,147.98845,0.0,0.0,84.61066,59.50236,3.87543,77.03509,35.0066,0.0,0.20953,35.73723
  Pomegranate (Fl),15.93627,15.93627,0.0,0.0,0.0,15.93627,0.0,14.72803,1.20824,0.0,0.0,0.0
 1.5 Lt (Si),2047.00729,1879.88031,161.77338,5.3536,272.25275,1590.555,184.19954,506.53213,1061.61791,271.64143,90.78615,116.42967
  Apple (Fl),132.1648,128.20772,3.95708,0.0,2.73585,126.50991,2.91904,3.12585,110.76564,18.27331,0.0,0.0
  Citrus (Fl),413.91745,404.09398,7.21666,2.60681,43.02101,350.12237,20.77407,22.80137,349.71743,14.76182,17.34732,9.28951
  Cola (Fl),565.63434,449.22867,116.40567,0.0,50.77361,485.14062,29.72011,169.82684,165.84275,152.83719,19.28691,57.84065
  Lamonade (Fl),470.0962,450.33424,17.68718,2.07478,94.32401,314.07906,61.69313,147.69508,211.79042,51.4436,31.41891,27.74819
  Lychee (Fl),18.92392,18.92392,0.0,0.0,6.22302,12.7009,0.0,0.0,18.92392,0.0,0.0,0.0
  Orange (Fl),444.04207,426.86327,16.50679,0.67201,75.17525,299.77363,69.09319,163.08299,202.34924,34.32551,22.73301,21.55132
  Pomegranate (Fl),2.22851,2.22851,0.0,0.0,0.0,2.22851,0.0,0.0,2.22851,0.0,0.0,0.0
 2.25 Lt (Si),974.25474,974.25474,0.0,0.0,284.62987,670.58598,19.03889,649.27196,94.0442,11.42125,19.03889,200.47844
  Citrus (Fl),25.43102,25.43102,0.0,0.0,15.92974,3.52196,5.97932,19.4517,0.0,0.0,5.97932,0.0
  Cola (Fl),414.74115,414.74115,0.0,0.0,157.78648,254.50562,2.44905,263.12224,54.52056,4.68426,2.44905,89.96504
  Lamonade (Fl),344.65888,344.65888,0.0,0.0,30.2154,307.95735,6.48613,194.43154,36.5309,6.73699,6.48613,100.47332
  Orange (Fl),189.42369,189.42369,0.0,0.0,80.69825,104.60105,4.12439,172.26648,2.99274,0.0,4.12439,10.04008
 250 Ml (Si),293.4943,279.42124,14.07306,0.0,76.14728,189.97935,27.36767,159.04303,80.57538,27.82909,14.23304,11.81376
  Citrus (Fl),27.5433,26.779,0.7643,0.0,9.72934,13.80981,4.00415,8.4123,7.52489,2.51625,5.50423,3.58563
  Cola (Fl),65.4354,56.38335,9.05205,0.0,23.83443,34.78866,6.81231,22.743,25.54304,10.82085,2.76493,3.56358
  Lamonade (Fl),98.30682,94.99495,3.31187,0.0,36.68162,47.9537,13.6715,51.01671,29.45371,11.34573,4.82168,1.66899
  Orange (Fl),102.20878,101.26394,0.94484,0.0,5.90189,93.42718,2.87971,76.87102,18.05374,3.14626,1.1422,2.99556
 300 Ml (Si),9.72854,9.21721,0.51133,0.0,4.61638,3.01964,2.09252,0.0,5.0143,3.39327,0.0,1.32097
  Apple (Fl),1.12448,0.61315,0.51133,0.0,0.0,1.12448,0.0,0.0,0.0,1.12448,0.0,0.0
  Cola (Fl),6.81964,6.81964,0.0,0.0,4.61638,0.48202,1.72124,0.0,4.61638,1.87411,0.0,0.32915
  Lamonade (Fl),0.39468,0.39468,0.0,0.0,0.0,0.0234,0.37128,0.0,0.0,0.39468,0.0,0.0
  Lychee (Fl),0.39792,0.39792,0.0,0.0,0.0,0.39792,0.0,0.0,0.39792,0.0,0.0,0.0
  Pomegranate (Fl),0.99182,0.99182,0.0,0.0,0.0,0.99182,0.0,0.0,0.0,0.0,0.0,0.99182
 345 Ml (Si),55.12162,55.12162,0.0,0.0,9.73121,43.93608,1.45433,25.77274,26.88658,0.0,1.45433,1.00797
  Citrus (Fl),4.77186,4.77186,0.0,0.0,0.91707,3.85479,0.0,0.23518,4.53668,0.0,0.0,0.0
  Cola (Fl),26.32956,26.32956,0.0,0.0,0.58733,25.48548,0.25675,21.28013,3.78471,0.0,0.25675,1.00797
  Lamonade (Fl),11.12949,11.12949,0.0,0.0,3.84165,6.09026,1.19758,3.69662,6.23529,0.0,1.19758,0.0
  Orange (Fl),12.89071,12.89071,0.0,0.0,4.38516,8.50555,0.0,0.56081,12.3299,0.0,0.0,0.0
 500 Ml (Si),274.85324,231.41587,43.43737,0.0,80.25127,165.52739,29.07458,122.38349,72.12847,75.4125,0.3689,4.55988
  Apple (Fl),10.87834,10.638,0.24034,0.0,4.82549,5.12169,0.93116,1.5604,4.78495,2.73792,0.0,1.79507
  Citrus (Fl),20.23698,19.60082,0.63616,0.0,9.60415,9.79428,0.83855,8.27471,6.58869,5.37358,0.0,0.0
  Cola (Fl),117.53885,80.96879,36.57006,0.0,8.52453,96.50535,12.50897,37.78731,30.11552,48.77499,0.3689,0.49213
  Lamonade (Fl),93.32732,89.55876,3.76856,0.0,44.70026,38.67804,9.94902,68.05562,18.00442,6.69661,0.0,0.57067
  Lychee (Fl),5.76608,5.76608,0.0,0.0,2.86471,2.90137,0.0,0.18005,3.88402,0.0,0.0,1.70201
  Orange (Fl),27.10567,24.88342,2.22225,0.0,9.73213,12.52666,4.84688,6.5254,8.75087,11.8294,0.0,0.0
