,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
,3,3,3,3,3,3,3,3,3,3,3,3
Category,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
 1 Lt (Si),18.3272,19.29825,0.0,0.0,26.04074,16.21472,15.52545,17.57446,19.76456,0.0,38.18867,22.99046
  Apple (Fl),0.03754,0.03953,0.0,0.0,0.17075,0.0,0.0,0.0,0.10056,0.0,0.0,0.0
  Citrus (Fl),1.63333,1.71988,0.0,0.0,2.25817,1.4456,1.57589,0.10919,3.72052,0.0,1.7682,1.23826
  Cola (Fl),7.8275,8.24223,0.0,0.0,9.3375,7.59725,5.40907,7.68219,7.27429,0.0,28.39557,7.9275
  Lamonade (Fl),5.12349,5.39496,0.0,0.0,5.484,4.79891,7.2968,4.61314,6.38918,0.0,7.92202,5.62441
  Lychee (Fl),0.04181,0.04402,0.0,0.0,0.19014,0.0,0.0,0.0,0.11199,0.0,0.0,0.0
  Orange (Fl),3.30736,3.4826,0.0,0.0,8.60019,1.87168,1.2437,4.34015,2.09568,0.0,0.10289,8.2003
  Pomegranate (Fl),0.35616,0.37503,0.0,0.0,0.0,0.50129,0.0,0.82978,0.07233,0.0,0.0,0.0
 1.5 Lt (Si),45.74816,44.2391,73.60189,100.0,27.67292,50.03188,59.11302,28.538,63.55405,69.70571,44.5786,26.71606
  Apple (Fl),2.95373,3.0171,1.80035,0.0,0.27808,3.97945,0.93677,0.17611,6.63102,4.6891,0.0,0.0
  Citrus (Fl),9.25056,9.50952,3.28336,48.69266,4.37284,11.01331,6.66678,1.28463,20.93593,3.78802,8.51803,2.13158
  Cola (Fl),12.64125,10.57167,52.96098,0.0,5.16084,15.26039,9.53773,9.56804,9.92822,39.21944,9.47042,13.27217
  Lamonade (Fl),10.50609,10.59769,8.04712,38.75486,9.58749,9.87955,19.79846,8.32113,12.67889,13.2009,15.42758,6.36713
  Lychee (Fl),0.42293,0.44534,0.0,0.0,0.63253,0.39951,0.0,0.0,1.13289,0.0,0.0,0.0
  Orange (Fl),9.92381,10.04535,7.51008,12.55249,7.64113,9.42956,22.17327,9.18809,12.11369,8.80824,11.16256,4.94519
  Pomegranate (Fl),0.0498,0.05244,0.0,0.0,0.0,0.0701,0.0,0.0,0.13341,0.0,0.0,0.0
 2.25 Lt (Si),21.77343,22.92707,0.0,0.0,28.93098,21.09369,6.10993,36.57995,5.62998,2.9308,9.34864,46.00197
  Citrus (Fl),0.56835,0.59847,0.0,0.0,1.61917,0.11079,1.91887,1.09591,0.0,0.0,2.93602,0.0
  Cola (Fl),9.26897,9.76008,0.0,0.0,16.03808,8.00563,0.78595,14.8243,3.26389,1.20202,1.20255,20.64346
  Lamonade (Fl),7.70271,8.11084,0.0,0.0,3.07122,9.68699,2.08152,10.95426,2.18693,1.72877,3.18488,23.0547
  Orange (Fl),4.23339,4.4577,0.0,0.0,8.20251,3.29029,1.32359,9.70549,0.17916,0.0,2.02519,2.30381
 250 Ml (Si),6.55925,6.5756,6.40281,0.0,7.73993,5.97592,8.78279,8.96048,4.82367,7.1412,6.98883,2.7108
  Citrus (Fl),0.61556,0.63019,0.34773,0.0,0.98893,0.4344,1.28501,0.47395,0.45048,0.64569,2.70273,0.82276
  Cola (Fl),1.4624,1.32687,4.1184,0.0,2.42263,1.0943,2.1862,1.28134,1.52914,2.77673,1.35766,0.8177
  Lamonade (Fl),2.19704,2.23551,1.5068,0.0,3.72847,1.50841,4.38744,2.87428,1.76325,2.91142,2.36758,0.38297
  Orange (Fl),2.28424,2.38304,0.42987,0.0,0.59989,2.93881,0.92415,4.33091,1.08079,0.80736,0.56085,0.68736
 300 Ml (Si),0.21742,0.21691,0.23264,0.0,0.46923,0.09498,0.67153,0.0,0.30018,0.87074,0.0,0.30311
  Apple (Fl),0.02513,0.01443,0.23264,0.0,0.0,0.03537,0.0,0.0,0.0,0.28855,0.0,0.0
  Cola (Fl),0.15241,0.16049,0.0,0.0,0.46923,0.01516,0.55238,0.0,0.27636,0.48091,0.0,0.07553
  Lamonade (Fl),0.00882,0.00929,0.0,0.0,0.0,0.00074,0.11915,0.0,0.0,0.10128,0.0,0.0
  Lychee (Fl),0.00889,0.00936,0.0,0.0,0.0,0.01252,0.0,0.0,0.02382,0.0,0.0,0.0
  Pomegranate (Fl),0.02217,0.02334,0.0,0.0,0.0,0.0312,0.0,0.0,0.0,0.0,0.0,0.22758
 345 Ml (Si),1.2319,1.29717,0.0,0.0,0.98912,1.38204,0.46672,1.45204,1.60957,0.0,0.71412,0.23129
  Citrus (Fl),0.10665,0.1123,0.0,0.0,0.09321,0.12125,0.0,0.01325,0.27159,0.0,0.0,0.0
  Cola (Fl),0.58843,0.61961,0.0,0.0,0.0597,0.80166,0.0824,1.19892,0.22657,0.0,0.12607,0.23129
  Lamonade (Fl),0.24873,0.26191,0.0,0.0,0.39048,0.19157,0.38433,0.20827,0.37328,0.0,0.58805,0.0
  Orange (Fl),0.28809,0.30336,0.0,0.0,0.44573,0.26755,0.0,0.0316,0.73813,0.0,0.0,0.0
 500 Ml (Si),6.14264,5.44589,19.76266,0.0,8.15708,5.20677,9.33057,6.89508,4.31799,19.35155,0.18114,1.04631
  Apple (Fl),0.24312,0.25034,0.10935,0.0,0.49048,0.16111,0.29883,0.08791,0.28645,0.70258,0.0,0.4119
  Citrus (Fl),0.45227,0.46126,0.28943,0.0,0.97621,0.30809,0.26911,0.4662,0.39443,1.37891,0.0,0.0
  Cola (Fl),2.62685,1.90543,16.63825,0.0,0.86647,3.03563,4.01436,2.12894,1.80287,12.51611,0.18114,0.11292
  Lamonade (Fl),2.08575,2.10758,1.71458,0.0,4.54352,1.21664,3.19282,3.83425,1.07784,1.71841,0.0,0.13095
  Lychee (Fl),0.12886,0.13569,0.0,0.0,0.29118,0.09126,0.0,0.01014,0.23252,0.0,0.0,0.39054
  Orange (Fl),0.60578,0.58558,1.01106,0.0,0.98921,0.39403,1.55545,0.36764,0.52387,3.03553,0.0,0.0
