,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Africola (Ve),15.18992,14.56984,14.53281,15.99701,15.3769,14.71362,12.51031,16.26157,15.70217,14.71833,15.50238,16.37403,11.16137,13.00525,13.75207,11.98167,15.03078,14.19958,14.10963,15.57384,17.92851,22.37162,22.19364,23.70762,0.0,0.0,0.0,0.0,15.99341,14.68234,15.33705,15.57942,12.35561,11.62485,11.20243,14.55103,16.0497,15.89876,19.4525,18.08203,13.51899,20.28202,14.56877,17.039,21.52354,20.70238,17.03665,19.13912
 Asahi (Ve),0.0,0.0,0.08754,0.0,0.0,0.0,0.32211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76457,0.0
 Dr Pepper (Ve),14.76231,15.26287,13.75427,14.40313,11.62812,12.53489,12.20443,12.11568,15.78635,16.09674,14.05285,14.94309,16.41655,17.71183,16.33375,17.78425,14.1768,14.5127,13.3764,14.09938,20.8223,25.00946,17.42583,16.17831,52.08214,47.27227,36.347,41.40519,13.90986,15.88421,14.37127,14.25279,15.57143,13.83692,13.4386,14.0787,20.25964,22.90859,17.65901,18.37963,12.65091,17.83017,9.81595,20.47254,8.93936,7.32185,10.88132,8.42886
 Gihauser (Ve),6.46118,6.96998,7.40695,6.55529,7.33656,6.92499,6.87207,4.77918,6.4296,7.01109,7.87171,7.53428,4.25524,6.80631,5.71067,4.56444,6.9758,7.41525,7.94319,7.05058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.66307,11.3126,11.7864,9.01975,4.7673,4.18956,5.3588,5.70563,1.90109,0.0,0.0,1.19534,2.86969,7.4241,3.96024,4.8847,7.56725,10.09862,10.36463,7.71339
 Hiego (Ve),0.15224,0.25452,0.08381,0.20428,0.0,0.0,0.0,0.0,0.23592,0.39707,0.13119,0.31389,0.0,0.0,0.0,0.0,0.16437,0.27078,0.08988,0.21972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45898,0.68816,0.23808,0.60967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Mechou (Ve),0.93215,0.88385,0.83338,0.60002,0.42662,0.73341,0.73861,0.52866,0.84709,0.63249,0.44242,0.57427,2.91411,3.23694,3.91728,1.05675,1.00639,0.94031,0.89372,0.64536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7594,0.89579,0.12155,0.7506,0.75686,0.22608,0.6834,0.24889,0.0,0.0,0.0,0.0,7.39649,9.34633,8.54929,5.53378,0.0,0.0,0.0,0.0
 Munaken (Ve),2.44117,2.64083,2.4,2.28815,3.57211,4.11207,4.12418,3.47045,2.02764,2.05564,1.6808,1.76772,2.14601,2.3307,2.29792,2.531,2.46426,2.53876,2.35359,2.24132,2.24406,4.65612,3.31214,3.1921,0.0,0.0,0.0,0.0,1.87191,1.99641,0.88106,1.75559,2.57062,2.2347,2.81092,2.23839,5.29779,6.93047,6.21393,5.5617,0.0,0.0,0.0,0.0,1.68907,2.529,2.98032,1.09147
 Sigma Industry (Ve),0.25105,0.38003,0.08381,0.25384,0.9636,1.39167,0.30839,0.9392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27105,0.40431,0.08988,0.27302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75686,1.02749,0.23808,0.75756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
