,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,308.21814,256.19186,230.51388,255.71529,68.52176,60.23556,66.2706,67.70293,216.31003,170.71985,137.9051,170.59142,23.38635,25.23645,26.33818,17.42094,290.79898,237.63354,218.71253,248.81792,17.06225,17.62849,10.41244,5.97037,0.35691,0.92983,1.38891,0.927,118.33825,79.54576,68.71273,97.32184,116.85992,95.11535,80.05427,94.5515,31.16315,34.46764,30.00074,28.44524,14.36855,11.75148,20.80549,9.92278,27.48827,35.31163,30.94065,25.47393
  Africola (Ve),122.6855,119.05706,89.00766,101.1081,35.87875,31.03653,27.6322,26.46411,78.44985,79.30779,55.80006,68.564,8.3569,8.71274,5.5754,6.07999,114.13276,105.63134,82.38149,97.20432,8.55274,13.42572,6.62617,3.90378,0.0,0.0,0.0,0.0,57.56368,36.01045,27.7284,33.4974,28.54706,33.3377,24.18115,36.59698,14.77719,20.13303,14.30563,11.04557,5.13136,2.47865,6.1777,3.3891,16.66621,27.09723,16.61478,16.57905
 Asahi (Ve),0.0,0.0,0.47431,0.0,0.0,0.0,0.47431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47431,0.0
 Dr Pepper (Ve),148.6774,100.57436,98.8849,120.60774,26.38363,23.02895,27.39154,28.92945,108.78494,67.65129,61.5771,82.37959,13.50883,9.89412,9.91626,9.2987,140.14995,95.8947,93.98779,117.91906,8.17054,3.74983,3.5082,1.76168,0.35691,0.92983,1.38891,0.927,45.84769,27.98303,26.43102,47.63836,73.94951,52.20896,43.47621,48.29646,14.22268,10.85367,13.96516,14.84195,8.44012,6.56664,5.22391,5.62169,6.2174,2.96206,9.7886,4.20928
 Gihauser (Ve),22.68629,26.03199,33.16695,24.74353,4.01473,3.0512,7.18155,7.66272,17.86016,19.45393,17.93167,16.19755,0.8114,3.52686,8.05373,0.88326,22.68629,26.03199,33.16695,24.74353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.58131,13.94443,13.95906,14.65307,4.03863,6.30369,8.64129,4.68431,0.56661,0.0,0.0,0.65222,0.24479,0.79838,7.10927,0.23104,4.25495,4.98549,3.45733,4.52289
 Hiego (Ve),8.05036,0.2461,0.32049,0.51991,0.0,0.0,0.0,0.0,8.05036,0.2461,0.32049,0.51991,0.0,0.0,0.0,0.0,8.05036,0.2461,0.32049,0.51991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05036,0.2461,0.32049,0.51991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Mechou (Ve),1.53988,2.72931,2.31951,1.19664,0.13078,0.46166,0.20781,0.01724,0.9876,0.8215,0.0249,0.51569,0.4215,1.44615,2.0868,0.66371,1.53988,2.72931,2.31951,1.19664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96314,0.71731,0.00619,0.49184,0.02446,0.10419,0.01871,0.02385,0.0,0.0,0.0,0.0,0.55228,1.90781,2.29461,0.68095,0.0,0.0,0.0,0.0
 Munaken (Ve),4.11707,7.54136,6.28022,7.52504,1.65223,2.64554,3.32335,4.61508,2.17712,3.23924,2.25088,2.41468,0.28772,1.65658,0.70599,0.49528,3.7781,7.08842,6.00215,7.22013,0.33897,0.45294,0.27807,0.30491,0.0,0.0,0.0,0.0,0.38243,0.89054,0.58806,1.04117,1.78826,2.90303,3.35658,4.41566,1.59667,3.48094,1.72995,1.9055,0.0,0.0,0.0,0.0,0.34971,0.26685,0.60563,0.16271
 Sigma Industry (Ve),0.46164,0.01168,0.05984,0.01433,0.46164,0.01168,0.05984,0.01433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46164,0.01168,0.05984,0.01433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46164,0.01168,0.05984,0.01433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
