,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,4474.5124,3672.11396,3319.54028,3752.64857,983.82372,807.27312,903.29896,955.12179,3179.08297,2483.23993,2032.53969,2554.82427,311.60571,381.60091,383.70163,242.70251,4249.36366,3417.53217,3162.51773,3666.7271,219.79514,240.63434,136.1889,72.01651,5.3536,13.94745,20.83365,13.90496,1774.93926,1202.04479,1019.77084,1523.75108,1670.41743,1322.26034,1155.22222,1344.00787,389.69754,442.82235,390.00847,356.10602,203.65412,186.5869,318.00619,143.22177,435.80405,518.39958,436.53256,385.56183
  Africola (Ve),1711.03198,1622.241,1191.37612,1394.28042,537.22572,410.36524,360.3302,361.22702,1067.87504,1095.54341,754.17352,954.9797,105.93122,116.33235,76.8724,78.0737,1609.13885,1436.63571,1106.55126,1348.07256,101.89313,185.60529,84.82486,46.20786,0.0,0.0,0.0,0.0,832.70052,501.5662,371.44773,485.48218,381.57502,435.68775,321.2027,490.99564,178.29662,267.07326,190.04605,126.1304,71.68315,32.48988,85.43357,47.57166,246.77667,385.42391,223.24607,244.10054
 Asahi (Ve),0.0,0.0,7.37589,0.0,0.0,0.0,7.37589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37589,0.0
 Dr Pepper (Ve),2097.5494,1393.78148,1374.50735,1736.08846,341.96896,294.48066,364.4188,383.9533,1573.53819,954.33274,882.98771,1219.86153,182.04225,144.96808,127.10084,132.27363,1979.00254,1329.85462,1305.37898,1699.87087,113.19326,49.97941,48.29472,22.31263,5.3536,13.94745,20.83365,13.90496,639.35307,398.24784,382.61029,718.93421,1056.92826,718.79679,602.46507,683.73752,179.93453,129.89957,177.94718,191.88918,118.90398,106.35757,75.73139,82.15446,102.42956,40.47971,135.75342,59.37309
 Gihauser (Ve),459.85086,503.99609,627.85602,490.46252,77.19751,59.19544,128.19842,144.5389,369.24294,373.36451,363.28648,330.16626,13.41041,71.43614,136.37112,15.75736,459.85086,503.99609,627.85602,490.46252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.75654,275.91938,259.1354,294.82865,84.58317,125.65909,186.37422,99.41545,9.33068,0.0,0.0,11.90658,4.07973,13.30642,118.48791,3.85078,83.10074,89.1112,63.85849,80.46106
 Hiego (Ve),120.75542,3.69146,4.80724,7.79871,0.0,0.0,0.0,0.0,120.75542,3.69146,4.80724,7.79871,0.0,0.0,0.0,0.0,120.75542,3.69146,4.80724,7.79871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.75542,3.69146,4.80724,7.79871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Mechou (Ve),28.65779,50.18459,38.78881,19.87914,2.61563,8.39381,3.46342,0.3449,19.67053,15.75156,0.43549,10.23427,6.37163,26.03922,34.8899,9.29997,28.65779,50.18459,38.78881,19.87914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.26283,14.01513,0.12372,9.83678,0.4077,1.73643,0.31177,0.39749,0.0,0.0,0.0,0.0,8.98726,34.43303,38.35332,9.64487,0.0,0.0,0.0,0.0
 Munaken (Ve),52.05057,98.10254,74.23049,103.99607,20.19952,34.72117,38.91387,64.91442,28.00085,40.55625,26.84925,31.7838,3.8502,22.82512,8.46737,7.29785,47.34182,93.0529,71.16117,100.50005,4.70875,5.04964,3.06932,3.49602,0.0,0.0,0.0,0.0,4.8663,12.29624,6.4537,14.66926,21.55148,36.57202,39.46286,61.51981,22.13571,45.84952,22.01524,26.17986,0.0,0.0,0.0,0.0,3.49708,3.38476,6.29869,1.62714
 Sigma Industry (Ve),4.61638,0.1168,0.59836,0.14325,4.61638,0.1168,0.59836,0.14325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61638,0.1168,0.59836,0.14325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61638,0.1168,0.59836,0.14325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
