,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
Month,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
  Africola (Ve),38.23952,44.17731,35.88979,37.15457,54.60589,50.83351,39.89047,37.82,33.59066,44.1175,37.10498,37.37947,33.99528,30.48534,20.03442,32.16848,37.86776,42.03723,34.98957,36.76501,46.35823,77.13167,62.28471,64.16287,0.0,0.0,0.0,0.0,46.91431,41.72608,36.42463,31.86099,22.84309,32.95022,27.80441,36.5322,45.75256,60.3116,48.7287,35.41934,35.19848,17.41273,26.86538,33.21538,56.6256,74.34881,51.14076,63.31035
 Asahi (Ve),0.0,0.0,0.2222,0.0,0.0,0.0,0.81655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68965,0.0
 Dr Pepper (Ve),46.87772,37.95583,41.40656,46.26302,34.75917,36.47844,40.3431,40.19941,49.49661,38.43095,43.44258,47.74738,58.4207,37.98945,33.12492,54.50031,46.57174,38.91272,41.27657,46.35935,51.49944,20.76986,35.46157,30.98266,100.0,100.0,100.0,100.0,36.02112,33.13087,37.51924,47.18187,63.2733,54.36122,52.15144,50.87303,46.17287,29.33447,45.62649,53.88541,58.38526,57.00163,23.81444,57.36171,23.50358,7.80859,31.09812,15.39911
 Gihauser (Ve),10.27712,13.72496,18.91394,13.06977,7.84668,7.33276,14.19225,15.13303,11.61476,15.03538,17.87352,12.92325,4.30365,18.72012,35.54093,6.49246,10.82164,14.74737,19.85304,13.37603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.70513,22.95417,25.41114,19.34887,5.06359,9.50335,16.13319,7.39694,2.39434,0.0,0.0,3.34355,2.00326,7.13149,37.25962,2.68868,19.06837,17.18967,14.62857,20.86852
 Hiego (Ve),2.69874,0.10053,0.14482,0.20782,0.0,0.0,0.0,0.0,3.79844,0.14865,0.23651,0.30525,0.0,0.0,0.0,0.0,2.84173,0.10802,0.15201,0.21269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22906,0.27918,0.41613,0.58026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Mechou (Ve),0.64047,1.36664,1.1685,0.52974,0.26586,1.03977,0.38342,0.03611,0.61875,0.63431,0.02143,0.40059,2.04477,6.82368,9.09298,3.83184,0.6744,1.46845,1.22652,0.54215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08527,1.16594,0.01213,0.64556,0.02441,0.13132,0.02699,0.02957,0.0,0.0,0.0,0.0,4.413,18.45415,12.06056,6.73422,0.0,0.0,0.0,0.0
 Munaken (Ve),1.16327,2.67155,2.23617,2.77127,2.05316,4.30104,4.30797,6.79645,0.88078,1.6332,1.32097,1.24407,1.2356,5.98141,2.20676,3.00691,1.11409,2.72281,2.25014,2.74087,2.14234,2.09847,2.25372,4.85447,0.0,0.0,0.0,0.0,0.27417,1.02294,0.63286,0.96271,1.29019,2.76587,3.41604,4.57734,5.68023,10.35393,5.64481,7.3517,0.0,0.0,0.0,0.0,0.80244,0.65292,1.44289,0.42202
 Sigma Industry (Ve),0.10317,0.00318,0.01803,0.00382,0.46923,0.01447,0.06624,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10864,0.00342,0.01892,0.00391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27636,0.00883,0.0518,0.01066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
