,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES
,3,4,5,3,4,5,3,4,5,3,4,5
Category,308.21814,256.19186,230.51388,68.52176,60.23556,66.2706,216.31003,170.71985,137.9051,23.38635,25.23645,26.33818
  Africola (Ve),122.6855,119.05706,89.00766,35.87875,31.03653,27.6322,78.44985,79.30779,55.80006,8.3569,8.71274,5.5754
  Afri Cola (Br),61.66535,52.57305,45.50911,15.54166,11.90533,13.86761,42.623,38.3739,29.12829,3.50069,2.29382,2.51321
  Almdudler (Br),23.58458,13.01771,12.22632,11.43147,3.20309,4.14991,9.96977,9.12513,6.17446,2.18334,0.68949,1.90195
  Big Peach Soda (Br),37.41997,53.39467,31.16029,8.89002,15.85648,9.50274,25.85708,31.80876,20.49731,2.67287,5.72943,1.16024
  Fanta Berry (Br),0.0156,0.07163,0.11194,0.0156,0.07163,0.11194,0.0,0.0,0.0,0.0,0.0,0.0
 Asahi (Ve),0.0,0.0,0.47431,0.0,0.0,0.47431,0.0,0.0,0.0,0.0,0.0,0.0
  Paulaner Spezi (Br),0.0,0.0,0.47431,0.0,0.0,0.47431,0.0,0.0,0.0,0.0,0.0,0.0
 Dr Pepper (Ve),148.6774,100.57436,98.8849,26.38363,23.02895,27.39154,108.78494,67.65129,61.5771,13.50883,9.89412,9.91626
  Anw Cream Soda (Br),40.97974,29.30891,29.88882,7.43139,5.88708,8.40165,28.00836,21.37686,18.71732,5.53999,2.04497,2.76985
  Bluna Orange (Br),39.47789,28.18782,18.26622,7.4514,8.60958,6.53017,29.45626,17.04948,10.11341,2.57023,2.52876,1.62264
  Chupa Chups Grape (Br),26.71785,19.85751,25.50206,4.12646,2.9229,5.81079,21.22251,14.962,16.86644,1.36888,1.97261,2.82483
  Crush Strawberry Soda (Br),38.64046,19.61901,22.49576,5.10359,3.46091,5.65535,29.73977,13.03695,14.59919,3.7971,3.12115,2.24122
  Dr Pepper Cherry (Br),2.79402,3.20249,2.27877,2.27079,2.14848,0.99358,0.2906,0.82738,0.82747,0.23263,0.22663,0.45772
  Dr Pepper Original (Br),0.06744,0.39862,0.45327,0.0,0.0,0.0,0.06744,0.39862,0.45327,0.0,0.0,0.0
 Gihauser (Ve),22.68629,26.03199,33.16695,4.01473,3.0512,7.18155,17.86016,19.45393,17.93167,0.8114,3.52686,8.05373
  Barq Root Malt (Br),12.64818,14.23898,12.61354,1.73895,1.10007,1.76448,10.61376,10.10965,9.74476,0.29547,3.02926,1.1043
  Big Red Soda (Br),6.49264,6.39265,8.66388,1.56711,1.28893,3.64855,4.4096,4.83278,4.83426,0.51593,0.27094,0.18107
  Chupa Chups Orange (Br),1.02413,1.29973,7.56374,0.0,0.0,0.0122,1.02413,1.09006,1.44006,0.0,0.20967,6.11148
  Crush Orange Soda (Br),2.52134,4.10063,4.32579,0.70867,0.6622,1.75632,1.81267,3.42144,1.91259,0.0,0.01699,0.65688
 Hiego (Ve),8.05036,0.2461,0.32049,0.0,0.0,0.0,8.05036,0.2461,0.32049,0.0,0.0,0.0
  Orangina (Br),8.05036,0.2461,0.32049,0.0,0.0,0.0,8.05036,0.2461,0.32049,0.0,0.0,0.0
 Mechou (Ve),1.53988,2.72931,2.31951,0.13078,0.46166,0.20781,0.9876,0.8215,0.0249,0.4215,1.44615,2.0868
  Fanta Apple (Br),1.31723,2.39976,2.11273,0.13078,0.46166,0.20781,0.92526,0.70383,0.0249,0.26119,1.23427,1.88002
  Gazoz Soda (Br),0.22265,0.32955,0.06154,0.0,0.0,0.0,0.06234,0.11767,0.0,0.16031,0.21188,0.06154
  Mirinda Orange (Br),0.0,0.0,0.14524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14524
 Munaken (Ve),4.11707,7.54136,6.28022,1.65223,2.64554,3.32335,2.17712,3.23924,2.25088,0.28772,1.65658,0.70599
  Diet Coke (Br),2.91745,5.29621,3.65375,0.78254,0.95611,1.38276,1.84719,2.68352,1.565,0.28772,1.65658,0.70599
  Dr Pepper Diet (Br),1.19962,2.24515,2.62647,0.86969,1.68943,1.94059,0.32993,0.55572,0.68588,0.0,0.0,0.0
 Sigma Industry (Ve),0.46164,0.01168,0.05984,0.46164,0.01168,0.05984,0.0,0.0,0.0,0.0,0.0,0.0
  Faxe Kondi (Br),0.46164,0.01168,0.05984,0.46164,0.01168,0.05984,0.0,0.0,0.0,0.0,0.0,0.0
