,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES
,3,4,5,3,4,5,3,4,5,3,4,5
Category,4474.51241,3672.11396,3319.54028,983.82372,807.27312,903.29896,3179.08298,2483.23993,2032.53969,311.60571,381.60091,383.70163
  Africola (Ve),1711.03199,1622.241,1191.37612,537.22572,410.36524,360.3302,1067.87505,1095.54341,754.17352,105.93122,116.33235,76.8724
  Afri Cola (Br),885.62981,699.68015,604.84601,245.39385,156.4739,178.48439,596.66956,516.64401,390.72805,43.5664,26.56224,35.63357
  Almdudler (Br),345.10025,180.71027,169.38539,173.07595,43.25398,59.70772,141.34897,129.73215,82.74749,30.67533,7.72414,26.93018
  Big Peach Soda (Br),480.14589,741.13432,416.02529,118.59988,209.9211,121.01866,329.85652,449.16725,280.69798,31.68949,82.04597,14.30865
  Fanta Berry (Br),0.15604,0.71626,1.11943,0.15604,0.71626,1.11943,0.0,0.0,0.0,0.0,0.0,0.0
 Asahi (Ve),0.0,0.0,7.37589,0.0,0.0,7.37589,0.0,0.0,0.0,0.0,0.0,0.0
  Paulaner Spezi (Br),0.0,0.0,7.37589,0.0,0.0,7.37589,0.0,0.0,0.0,0.0,0.0,0.0
 Dr Pepper (Ve),2097.5494,1393.78148,1374.50735,341.96896,294.48066,364.4188,1573.53819,954.33274,882.98771,182.04225,144.96808,127.10084
  Anw Cream Soda (Br),606.25471,412.08776,413.54686,90.20766,75.35051,114.24754,443.8832,307.7697,264.96677,72.16385,28.96755,34.33255
  Bluna Orange (Br),564.98438,393.85859,249.9258,101.4177,110.79773,89.44568,427.06004,246.87496,140.50416,36.50664,36.1859,19.97596
  Chupa Chups Grape (Br),371.5226,269.15346,356.55115,52.59737,38.70254,72.55725,300.86088,205.36731,244.00095,18.06435,25.08361,39.99295
  Crush Strawberry Soda (Br),526.17661,284.19714,326.12754,73.56335,47.24363,77.44719,398.46899,183.48156,218.42385,54.14427,53.47195,30.2565
  Dr Pepper Cherry (Br),27.93667,30.49831,23.82335,24.18288,22.38625,10.72114,2.59065,6.85299,10.55933,1.16314,1.25907,2.54288
  Dr Pepper Original (Br),0.67443,3.98622,4.53265,0.0,0.0,0.0,0.67443,3.98622,4.53265,0.0,0.0,0.0
 Gihauser (Ve),459.85086,503.99609,627.85602,77.19751,59.19544,128.19842,369.24294,373.36451,363.28648,13.41041,71.43614,136.37112
  Barq Root Malt (Br),259.69541,278.83651,257.74484,32.76409,21.44975,33.33154,222.47648,194.40142,203.86602,4.45484,62.98534,20.54728
  Big Red Soda (Br),128.61634,124.3965,162.74288,30.56938,25.19579,64.33013,89.09139,94.52758,95.39491,8.95557,4.67313,3.01784
  Chupa Chups Orange (Br),19.1566,23.85878,129.5123,0.0,0.0,0.20331,19.1566,20.36434,27.45104,0.0,3.49444,101.85795
  Crush Orange Soda (Br),52.38251,76.9043,77.856,13.86404,12.5499,30.33344,38.51847,64.07117,36.57451,0.0,0.28323,10.94805
 Hiego (Ve),120.75542,3.69146,4.80724,0.0,0.0,0.0,120.75542,3.69146,4.80724,0.0,0.0,0.0
  Orangina (Br),120.75542,3.69146,4.80724,0.0,0.0,0.0,120.75542,3.69146,4.80724,0.0,0.0,0.0
 Mechou (Ve),28.65779,50.18459,38.78881,2.61563,8.39381,3.46342,19.67053,15.75156,0.43549,6.37163,26.03922,34.8899
  Fanta Apple (Br),25.27709,45.4344,34.86007,2.61563,8.39381,3.46342,18.42365,13.61216,0.43549,4.23781,23.42843,30.96116
  Gazoz Soda (Br),3.3807,4.75019,1.024,0.0,0.0,0.0,1.24688,2.1394,0.0,2.13382,2.61079,1.024
  Mirinda Orange (Br),0.0,0.0,2.90474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90474
 Munaken (Ve),52.05057,98.10254,74.23049,20.19952,34.72117,38.91387,28.00085,40.55625,26.84925,3.8502,22.82512,8.46737
  Diet Coke (Br),37.79293,70.57713,46.41803,9.24117,12.75297,17.96018,24.70156,34.99904,19.99048,3.8502,22.82512,8.46737
  Dr Pepper Diet (Br),14.25764,27.52541,27.81246,10.95835,21.9682,20.95369,3.29929,5.55721,6.85877,0.0,0.0,0.0
 Sigma Industry (Ve),4.61638,0.1168,0.59836,4.61638,0.1168,0.59836,0.0,0.0,0.0,0.0,0.0,0.0
  Faxe Kondi (Br),4.61638,0.1168,0.59836,4.61638,0.1168,0.59836,0.0,0.0,0.0,0.0,0.0,0.0
