,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,308.21814,256.19186,230.51388,255.71529,68.52176,60.23556,66.2706,67.70293,216.31003,170.71985,137.9051,170.59142,23.38635,25.23645,26.33818,17.42094,290.79898,237.63354,218.71253,248.81792,17.06225,17.62849,10.41244,5.97037,0.35691,0.92983,1.38891,0.927,118.33825,79.54576,68.71273,97.32184,116.85992,95.11535,80.05427,94.5515,31.16315,34.46764,30.00074,28.44524,14.36855,11.75148,20.80549,9.92278,27.48827,35.31163,30.94065,25.47393
  Africola (Ve),122.6855,119.05706,89.00766,101.1081,35.87875,31.03653,27.6322,26.46411,78.44985,79.30779,55.80006,68.564,8.3569,8.71274,5.5754,6.07999,114.13276,105.63134,82.38149,97.20432,8.55274,13.42572,6.62617,3.90378,0.0,0.0,0.0,0.0,57.56368,36.01045,27.7284,33.4974,28.54706,33.3377,24.18115,36.59698,14.77719,20.13303,14.30563,11.04557,5.13136,2.47865,6.1777,3.3891,16.66621,27.09723,16.61478,16.57905
  Afri Cola (Br),61.66535,52.57305,45.50911,45.28987,15.54166,11.90533,13.86761,8.48653,42.623,38.3739,29.12829,34.72241,3.50069,2.29382,2.51321,2.08093,56.07034,50.74727,44.00804,43.98136,5.59501,1.82578,1.50107,1.30851,0.0,0.0,0.0,0.0,27.48461,15.81987,18.35842,18.567,12.64314,18.39156,12.8462,14.01362,8.55892,3.62609,6.26214,3.12079,4.23859,1.50673,2.97292,1.67027,8.74009,13.2288,5.06943,7.91819
   Cola (Fl),61.66535,52.57305,45.50911,45.28987,15.54166,11.90533,13.86761,8.48653,42.623,38.3739,29.12829,34.72241,3.50069,2.29382,2.51321,2.08093,56.07034,50.74727,44.00804,43.98136,5.59501,1.82578,1.50107,1.30851,0.0,0.0,0.0,0.0,27.48461,15.81987,18.35842,18.567,12.64314,18.39156,12.8462,14.01362,8.55892,3.62609,6.26214,3.12079,4.23859,1.50673,2.97292,1.67027,8.74009,13.2288,5.06943,7.91819
    1 Lt (Si),10.63893,11.47036,6.30963,6.18989,3.53512,2.20553,2.05107,1.14327,6.4406,8.99629,3.98584,4.91888,0.66321,0.26854,0.27272,0.12774,10.63893,11.47036,6.30963,6.18989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85828,0.54903,1.49962,0.86664,4.96821,5.98621,2.76961,3.69673,0.0,0.0,0.0,0.0,2.96894,0.4045,1.02299,0.61338,1.8435,4.53062,1.01741,1.01314
    1.5 Lt (Si),21.08618,16.30874,13.77843,22.46413,1.75441,2.22099,3.98957,2.28292,17.98351,13.45837,8.15237,18.92635,1.34826,0.62938,1.63649,1.25486,19.08217,15.57516,13.01167,21.62804,2.00401,0.73358,0.76676,0.83609,0.0,0.0,0.0,0.0,9.86229,4.81094,4.51422,8.2811,3.28916,5.74925,4.19873,7.68064,3.69769,1.27906,2.91336,2.01731,1.05709,0.40413,0.8035,0.69944,3.17995,4.06536,1.34862,3.78564
    2.25 Lt (Si),16.03544,9.20934,10.88532,8.37671,8.08775,2.85919,3.69685,2.01718,7.94769,6.35015,6.97338,6.35953,0.0,0.0,0.21509,0.0,16.03544,9.20934,10.88532,8.37671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.12215,5.91292,6.25716,5.29783,0.43071,0.691,1.03614,0.50058,0.27065,0.15032,1.70334,0.06343,0.0,0.0,0.42999,0.0,3.21193,2.4551,1.45869,2.51487
    250 Ml (Si),4.57105,8.6275,7.86869,3.23653,1.52152,2.076,3.41636,1.02242,2.69829,6.26538,4.38989,2.13207,0.35124,0.28612,0.06244,0.08204,3.97024,7.80371,7.14785,2.97999,0.60081,0.82379,0.72084,0.25654,0.0,0.0,0.0,0.0,1.60236,2.10143,3.57979,0.88518,1.55329,4.22632,2.29256,1.06955,0.78423,1.0023,0.76654,0.5083,0.17567,0.09582,0.16922,0.20767,0.4555,1.20163,1.06058,0.56583
    500 Ml (Si),9.33375,6.95711,6.66704,5.02261,0.64286,2.54362,0.71376,2.02074,7.55291,3.30371,5.62681,2.38558,1.13798,1.10978,0.32647,0.61629,6.34356,6.6887,6.65357,4.80673,2.99019,0.26841,0.01347,0.21588,0.0,0.0,0.0,0.0,3.03953,2.44555,2.50763,3.23625,2.40177,1.73878,2.54916,1.06612,3.80635,1.19441,0.8789,0.53175,0.03689,0.60228,0.54722,0.14978,0.04921,0.97609,0.18413,0.03871
