Date,Hour,Topic,Speakers,Program_Type,Duration
1/3/2024,1445-1454,Speakers Speech NA,SPEAKER_00,speech,445
1/3/2024,1445-1454,Speakers Speech NA,SPEAKER_01,speech,4
8/3/2024,0100-0200,Naat,SPEAKER_01,Misc,214
8/3/2024,0100-0200,Naat,SPEAKER_05,Misc,103
8/3/2024,0100-0200,Naat,SPEAKER_11,Misc,9
8/3/2024,0100-0200,filler,SPEAKER_01,music,16
8/3/2024,0100-0200,filler,SPEAKER_04,music,15
8/3/2024,0100-0200,Headlines,SPEAKER_01,news,14
8/3/2024,0100-0200,Headlines,SPEAKER_02,news,6
8/3/2024,0100-0200,Headlines,SPEAKER_03,news,288
8/3/2024,0100-0200,Headlines,SPEAKER_05,news,48
8/3/2024,0100-0200,main_aur_aap,SPEAKER_01,ts,20
8/3/2024,0100-0200,main_aur_aap,SPEAKER_04,ts,383
8/3/2024,0100-0200,main_aur_aap,SPEAKER_05,ts,59
8/3/2024,0100-0200,main_aur_aap,SPEAKER_06,ts,342
8/3/2024,0100-0200,main_aur_aap,SPEAKER_07,ts,79
8/3/2024,0100-0200,main_aur_aap,SPEAKER_08,ts,202
8/3/2024,0100-0200,main_aur_aap,SPEAKER_09,ts,777
8/3/2024,0100-0200,main_aur_aap,SPEAKER_10,ts,699
15-03-2024,1150-1300,NAP,SPEAKER_01,parlt-prcding,94
15-03-2024,1150-1300,NAP,SPEAKER_02,parlt-prcding,428
15-03-2024,1150-1300,NAP,SPEAKER_03,parlt-prcding,290
15-03-2024,1150-1300,NAP,SPEAKER_04,parlt-prcding,54
15-03-2024,1150-1300,NAP,SPEAKER_05,parlt-prcding,563
15-03-2024,1150-1300,NAP,SPEAKER_06,parlt-prcding,66
15-03-2024,1150-1300,NAP,SPEAKER_07,parlt-prcding,229
15-03-2024,1150-1300,NAP,SPEAKER_08,parlt-prcding,18
15-03-2024,1150-1300,NAP,SPEAKER_09,parlt-prcding,151
15-03-2024,1150-1300,NAP,SPEAKER_10,parlt-prcding,16
15-03-2024,1150-1300,NAP,SPEAKER_11,parlt-prcding,546
15-03-2024,1150-1300,NAP,SPEAKER_12,parlt-prcding,503
15-03-2024,1150-1300,NAP,SPEAKER_13,parlt-prcding,66
15-03-2024,1150-1300,NAP,SPEAKER_14,parlt-prcding,112
15-03-2024,1150-1300,NAP,SPEAKER_15,parlt-prcding,120
15-03-2024,1150-1300,NAP,SPEAKER_16,parlt-prcding,311
17-02-2024,0100-0200,Headlines,SPEAKER_01,news,298
17-02-2024,0100-0200,main_aur_aap,SPEAKER_04,ts,345
17-02-2024,0100-0200,main_aur_aap,SPEAKER_05,ts,1024
17-02-2024,0100-0200,main_aur_aap,SPEAKER_06,ts,5
17-02-2024,0100-0200,main_aur_aap,SPEAKER_07,ts,565
17-02-2024,0100-0200,main_aur_aap,SPEAKER_09,ts,98
17-02-2024,0100-0200,main_aur_aap,SPEAKER_10,ts,452
17-02-2024,0100-0200,main_aur_aap,SPEAKER_11,ts,16
17-02-2024,0100-0200,music_prgm,SPEAKER_06,misc,3
17-02-2024,0100-0200,music_prgm,SPEAKER_07,misc,10
17-02-2024,0100-0200,music_prgm,SPEAKER_09,misc,14
17-02-2024,0100-0200,music_prgm,SPEAKER_14,misc,21
17-02-2024,0100-0200,music_prgm,SPEAKER_15,misc,24
17-02-2024,0100-0200,NAP,SPEAKER_05,parlt-prcding,2
17-02-2024,0100-0200,trailer,SPEAKER_03,misc,2
17-02-2024,0100-0200,trailer,SPEAKER_06,misc,3
17-02-2024,0100-0200,trailer,SPEAKER_07,misc,15
17-02-2024,0100-0200,trailer,SPEAKER_11,misc,69
17-02-2024,0100-0200,trailer,SPEAKER_12,misc,30
17-02-2024,0100-0200,trailer,SPEAKER_13,misc,8
17-02-2024,0100-0200,trailer,SPEAKER_14,misc,17
17-02-2024,0100-0200,trailer,SPEAKER_15,misc,66
17-02-2024,0100-0200,trailer,SPEAKER_16,misc,42
17-02-2024,0100-0200,trailer,SPEAKER_17,misc,9
17-02-2024,0100-0200,trailer,SPEAKER_18,misc,30
17-02-2024,0100-0200,trailer,SPEAKER_19,misc,34
17-02-2024,0100-0200,trailer,SPEAKER_20,misc,22
17-02-2024,0100-0200,trailer,SPEAKER_21,misc,17
24-09-2023,1120-1240,Headlines,SPEAKER_05,news,22
24-09-2023,1120-1240,Headlines,SPEAKER_14,news,203
24-09-2023,1120-1240,Headlines,SPEAKER_15,news,208
24-09-2023,1120-1240,news,SPEAKER_05,news,12
24-09-2023,1120-1240,news,SPEAKER_09,news,8
24-09-2023,1120-1240,news,SPEAKER_11,news,12
24-09-2023,1120-1240,news,SPEAKER_13,news,10
24-09-2023,1120-1240,news,SPEAKER_14,news,405
24-09-2023,1120-1240,news,SPEAKER_15,news,513
24-09-2023,1120-1240,news,SPEAKER_17,news,135
24-09-2023,1120-1240,news,SPEAKER_18,news,47
24-09-2023,1120-1240,news,SPEAKER_19,news,462
24-09-2023,1120-1240,news,SPEAKER_20,news,121
24-09-2023,1120-1240,news,SPEAKER_21,news,71
24-09-2023,1120-1240,news,SPEAKER_22,news,18
24-09-2023,1120-1240,news,SPEAKER_23,news,24
24-09-2023,1120-1240,news,SPEAKER_24,news,8
24-09-2023,1120-1240,news,SPEAKER_25,news,19
24-09-2023,1120-1240,news,SPEAKER_26,news,2
24-09-2023,1120-1240,PM_UN,SPEAKER_17,clip,26
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_01,health_consult,51
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_02,health_consult,216
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_03,health_consult,796
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_04,health_consult,243
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_05,health_consult,144
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_06,health_consult,78
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_07,health_consult,231
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_08,health_consult,44
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_09,health_consult,96
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_10,health_consult,97
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_11,health_consult,8
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_12,health_consult,90
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_13,health_consult,47
24-09-2023,1120-1240,sehat_sub_kaliay,SPEAKER_19,health_consult,3
