id,Date,Hour,Timestamp,Start_Time,End_Time,Duration,Text,TV,Topic,Speakers,Program_Type,Person,Designation,Orgs,Groups,Location,media_link,image_link
1,3/1/2024,,00:00:00 - 00:00:04,0:00:00,0:00:04,4,"In the name of Allah, the most merciful, the most compassionate",,,SPEAKER_01,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
2,3/1/2024,,00:00:04 - 00:00:08,0:00:04,0:00:08,4,Honorable members of the National Assembly of Pakistan,,,SPEAKER_00,,,,the National Assembly of Pakistan,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
3,3/1/2024,,00:00:08 - 00:00:16,0:00:08,0:00:16,8,I am extremely humble and humble in front of the Lord of Glory,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
4,3/1/2024,,00:00:16 - 00:00:23,0:00:16,0:00:23,7,"Who has awarded this humble servant of His, the third time, this noble post",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
5,3/1/2024,,00:00:22 - 00:00:30,0:00:22,0:00:30,8,for the third time.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
6,3/1/2024,,00:00:32 - 00:00:34,0:00:32,0:00:34,2,"For the third time, I thank my leader",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
7,3/1/2024,,00:00:34 - 00:00:36,0:00:34,0:00:36,2,Mian Muhammad Nawaz Sharif,,,SPEAKER_00,,Mian Muhammad Nawaz Sharif,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
8,3/1/2024,,00:00:36 - 00:00:38,0:00:36,0:00:38,2,for appointing me,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
9,3/1/2024,,00:00:38 - 00:00:40,0:00:38,0:00:40,2,for this post.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
10,3/1/2024,,00:00:42 - 00:00:44,0:00:42,0:00:44,2,He trusted me.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
11,3/1/2024,,00:00:49 - 00:00:54,0:00:49,0:00:54,5,"I am President of Muslim League Noon, Mr. Shahbaz Sharif with whom I had the opportunity to work in the last 5 years",,,SPEAKER_00,,Shahbaz Sharif,,Muslim League Noon,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
12,3/1/2024,,00:00:54 - 00:00:57,0:00:54,0:00:57,3,and I have learned a lot from him.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
13,3/1/2024,,00:00:57 - 00:01:01,0:00:57,0:01:01,4,I am thankful to him and all the members of my community.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
