id,Date,Hour,Timestamp,Start_Time,End_Time,Duration,Text,Channel,Program,Speakers,Program_Type,Person,Designation,Orgs,Groups,Location,media_link,image_link
1,2024-03-01,1100-1200,00:00:00 - 00:00:04,00:00:00,00:00:04,4.0,"In the name of Allah, the most merciful, the most compassionate",ptv,,SPEAKER_01,,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
2,2024-03-01,1100-1200,00:00:04 - 00:00:08,00:00:04,00:00:08,4.0,Honorable members of the National Assembly of Pakistan,ptv,,SPEAKER_01,,,,the National Assembly of Pakistan,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
3,2024-03-01,1100-1200,00:00:08 - 00:00:16,00:00:08,00:00:16,8.0,I am extremely humble and humble in front of the Lord of Glory,ptv,,SPEAKER_01,,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
4,2024-03-01,1100-1200,00:00:16 - 00:00:23,00:00:16,00:00:23,7.0,"Who has awarded this humble servant of His, the third time, this noble post",ptv,,SPEAKER_01,,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
5,2024-03-01,1100-1200,00:00:22 - 00:00:30,00:00:22,00:00:30,8.0,for the third time.,ptv,,SPEAKER_01,,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
6,2024-03-01,1100-1200,00:00:32 - 00:00:34,00:00:32,00:00:34,2.0,"For the third time, I thank my leader",ptv,,SPEAKER_01,,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
7,2024-03-01,1100-1200,00:00:34 - 00:00:36,00:00:34,00:00:36,2.0,Mian Muhammad Nawaz Sharif,ptv,,SPEAKER_01,,Mian Muhammad Nawaz Sharif,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
8,2024-03-01,1100-1200,00:00:36 - 00:00:38,00:00:36,00:00:38,2.0,for appointing me,ptv,,SPEAKER_01,,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
9,2024-03-01,1100-1200,00:00:38 - 00:00:40,00:00:38,00:00:40,2.0,for this post.,ptv,,SPEAKER_01,,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
10,2024-03-01,1100-1200,00:00:42 - 00:00:44,00:00:42,00:00:44,2.0,He trusted me.,ptv,,SPEAKER_01,,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
