Date,Hour,Program,Speakers,Program_Type,Duration
2/17/2024,0100-0200,MainAurAap,Multiple,TalkShow,361
2/17/2024,0100-0200,MainAurAap,SPEAKER_04,TalkShow,339
2/17/2024,0100-0200,MainAurAap,SPEAKER_05,TalkShow,880
2/17/2024,0100-0200,MainAurAap,SPEAKER_07,TalkShow,432
2/17/2024,0100-0200,MainAurAap,SPEAKER_10,TalkShow,491
2/17/2024,0100-0200,News HL,Multiple,News HL,45
2/17/2024,0100-0200,News HL,SPEAKER_01,News HL,248
2/17/2024,0100-0200,Trailers,Multiple,Trailers,183
2/17/2024,0100-0200,Trailers,SPEAKER_01,Trailers,5
2/17/2024,0100-0200,Trailers,SPEAKER_02,Trailers,1
2/17/2024,0100-0200,Trailers,SPEAKER_06,Trailers,3
2/17/2024,0100-0200,Trailers,SPEAKER_07,Trailers,5
2/17/2024,0100-0200,Trailers,SPEAKER_09,Trailers,14
2/17/2024,0100-0200,Trailers,SPEAKER_11,Trailers,69
2/17/2024,0100-0200,Trailers,SPEAKER_12,Trailers,30
2/17/2024,0100-0200,Trailers,SPEAKER_14,Trailers,6
2/17/2024,0100-0200,Trailers,SPEAKER_15,Trailers,39
2/17/2024,0100-0200,Trailers,SPEAKER_16,Trailers,30
2/17/2024,0100-0200,Trailers,SPEAKER_17,Trailers,6
2/17/2024,0100-0200,Trailers,SPEAKER_18,Trailers,30
2/17/2024,0100-0200,Trailers,SPEAKER_19,Trailers,14
2/17/2024,0100-0200,Trailers,SPEAKER_21,Trailers,4
2/17/2024,0200-0300,News HL,Multiple,News HL,58
2/17/2024,0200-0300,News HL,SPEAKER_01,News HL,235
2/17/2024,0200-0300,News HL,SPEAKER_05,News HL,2
2/17/2024,0200-0300,SochnaHoga,Multiple,TalkShow,286
2/17/2024,0200-0300,SochnaHoga,SPEAKER_04,TalkShow,301
2/17/2024,0200-0300,SochnaHoga,SPEAKER_05,TalkShow,849
2/17/2024,0200-0300,SochnaHoga,SPEAKER_07,TalkShow,445
2/17/2024,0200-0300,SochnaHoga,SPEAKER_10,TalkShow,442
2/17/2024,0200-0300,Trailers,Multiple,Trailers,335
2/17/2024,0200-0300,Trailers,SPEAKER_01,Trailers,12
2/17/2024,0200-0300,Trailers,SPEAKER_03,Trailers,2
2/17/2024,0200-0300,Trailers,SPEAKER_04,Trailers,10
2/17/2024,0200-0300,Trailers,SPEAKER_05,Trailers,8
2/17/2024,0200-0300,Trailers,SPEAKER_07,Trailers,29
2/17/2024,0200-0300,Trailers,SPEAKER_11,Trailers,30
2/17/2024,0200-0300,Trailers,SPEAKER_15,Trailers,77
2/17/2024,0200-0300,Trailers,SPEAKER_16,Trailers,22
2/17/2024,0200-0300,Trailers,SPEAKER_18,Trailers,11
2/17/2024,0200-0300,Trailers,SPEAKER_19,Trailers,9
2/17/2024,0300-0400,News,Multiple,News,539
2/17/2024,0300-0400,News,SPEAKER_01,News,546
2/17/2024,0300-0400,News,SPEAKER_03,News,416
2/17/2024,0300-0400,News,SPEAKER_04,News,43
2/17/2024,0300-0400,News,SPEAKER_05,News,32
2/17/2024,0300-0400,News,SPEAKER_06,News,23
2/17/2024,0300-0400,News,SPEAKER_07,News,18
2/17/2024,0300-0400,News,SPEAKER_08,News,41
2/17/2024,0300-0400,News,SPEAKER_09,News,29
2/17/2024,0300-0400,News,SPEAKER_10,News,8
2/17/2024,0300-0400,News,SPEAKER_11,News,30
2/17/2024,0300-0400,News,SPEAKER_12,News,11
2/17/2024,0300-0400,News,SPEAKER_13,News,42
2/17/2024,0300-0400,News,SPEAKER_14,News,28
2/17/2024,0300-0400,News,SPEAKER_15,News,72
2/17/2024,0300-0400,News,SPEAKER_16,News,43
2/17/2024,0300-0400,News,SPEAKER_17,News,10
2/17/2024,0300-0400,News,SPEAKER_18,News,17
2/17/2024,0300-0400,News,SPEAKER_19,News,8
2/17/2024,0300-0400,News,SPEAKER_20,News,9
2/17/2024,0300-0400,News,SPEAKER_21,News,3
2/17/2024,0300-0400,News,SPEAKER_22,News,16
2/17/2024,0300-0400,News,SPEAKER_23,News,12
2/17/2024,0300-0400,News,SPEAKER_24,News,23
2/17/2024,0300-0400,News,SPEAKER_25,News,33
2/17/2024,0300-0400,News,SPEAKER_26,News,55
2/17/2024,0300-0400,News,SPEAKER_27,News,14
2/17/2024,0300-0400,News,SPEAKER_28,News,57
2/17/2024,0300-0400,News,SPEAKER_29,News,8
2/17/2024,0300-0400,News,SPEAKER_30,News,3
2/17/2024,0300-0400,News,SPEAKER_31,News,7
2/17/2024,0300-0400,News,SPEAKER_32,News,85
2/17/2024,0300-0400,News HL,Multiple,News HL,40
2/17/2024,0300-0400,News HL,SPEAKER_01,News HL,126
2/17/2024,0300-0400,News HL,SPEAKER_03,News HL,108
2/17/2024,0300-0400,Trailers,Multiple,Trailers,272
2/17/2024,0300-0400,Trailers,SPEAKER_01,Trailers,26
2/17/2024,0300-0400,Trailers,SPEAKER_07,Trailers,1
2/17/2024,0300-0400,Trailers,SPEAKER_10,Trailers,13
2/17/2024,0300-0400,Trailers,SPEAKER_26,Trailers,13
2/17/2024,0300-0400,Trailers,SPEAKER_28,Trailers,27
