id,Date,Hour,Timestamp,Start_Time,End_Time,Duration,Text,Channel,Program,Speakers,Program_Type,Person,Designation,Orgs,Groups,Location,media_link,image_link
1,3/1/2024,1100-1200,00:00:00 - 00:00:04,0:00:00,0:00:04,4,"In the name of Allah, the most merciful, the most compassionate",ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
2,3/1/2024,1100-1200,00:00:04 - 00:00:08,0:00:04,0:00:08,4,Honorable members of the National Assembly of Pakistan,ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,the National Assembly of Pakistan,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
3,3/1/2024,1100-1200,00:00:08 - 00:00:16,0:00:08,0:00:16,8,I am extremely humble and humble in front of the Lord of Glory,ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
4,3/1/2024,1100-1200,00:00:16 - 00:00:23,0:00:16,0:00:23,7,"Who has awarded this humble servant of His, the third time, this noble post",ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
5,3/1/2024,1100-1200,00:00:22 - 00:00:30,0:00:22,0:00:30,8,for the third time.,ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
6,3/1/2024,1100-1200,00:00:32 - 00:00:34,0:00:32,0:00:34,2,"For the third time, I thank my leader",ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
7,3/1/2024,1100-1200,00:00:34 - 00:00:36,0:00:34,0:00:36,2,Mian Muhammad Nawaz Sharif,ptv,SpeakerSpeech,SPEAKER_01,National Assembly,Mian Muhammad Nawaz Sharif,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
8,3/1/2024,1100-1200,00:00:36 - 00:00:38,0:00:36,0:00:38,2,for appointing me,ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
9,3/1/2024,1100-1200,00:00:38 - 00:00:40,0:00:38,0:00:40,2,for this post.,ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
10,3/1/2024,1100-1200,00:00:42 - 00:00:44,0:00:42,0:00:44,2,He trusted me.,ptv,SpeakerSpeech,SPEAKER_01,National Assembly,,,,,,http://127.0.0.1:8000/1100-1200.mp4,http://127.0.0.1:8000/1100-1200.jpg
