,Total,PROVINCE1,PROVINCE2,PROVINCE3,CONVENIENCE,GROCERY,ON PREMISES,DISTRICT1,DISTRICT2,DISTRICT3,DISTRICT4,DISTRICT5
,3,3,3,3,3,3,3,3,3,3,3,3
Category,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
 1 Lt (Si),57.22549,62.71978,,,73.35608,53.49978,39.51741,60.17648,70.6063,,76.12327,78.26482
  Afri Cola (Br),18.70659,20.50261,,,20.84628,17.22467,24.16086,5.84143,26.53493,,57.68923,53.25066
    Africola (Ve),18.70659,20.50261,0.0,0.0,20.84628,17.22467,24.16086,5.84143,26.53493,0.0,57.68923,53.25066
  Almdudler (Br),6.97995,7.65012,,,7.45245,7.6887,,2.10055,11.39988,,,24.38354
    Africola (Ve),6.97995,7.65012,0.0,0.0,7.45245,7.6887,0.0,2.10055,11.39988,0.0,0.0,24.38354
  Anw Cream Soda (Br),15.51207,17.00142,,,12.08947,15.218,27.83776,9.41629,30.8087,,15.4069,14.67231
   Dr Pepper (Ve),15.51207,17.00142,0.0,0.0,12.08947,15.218,27.83776,9.41629,30.8087,0.0,15.4069,14.67231
  Barq Root Malt (Br),16.99606,18.62785,,,23.91837,15.92286,5.24399,36.5768,3.00486,,10.3994,11.68552
   Gihauser (Ve),16.99606,18.62785,0.0,0.0,23.91837,15.92286,5.24399,36.5768,3.00486,0.0,10.3994,11.68552
  Big Peach Soda (Br),18.88494,20.69808,,,24.01382,19.37806,,9.21911,31.04623,,26.70846,41.73965
    Africola (Ve),18.88494,20.69808,0.0,0.0,24.01382,19.37806,0.0,9.21911,31.04623,0.0,26.70846,41.73965
  Big Red Soda (Br),15.62899,17.12958,,,21.92278,14.12661,9.10433,31.18438,4.7075,,18.05497,10.70185
   Gihauser (Ve),15.62899,17.12958,0.0,0.0,21.92278,14.12661,9.10433,31.18438,4.7075,0.0,18.05497,10.70185
  Bluna Orange (Br),16.74306,18.35058,,,9.37787,18.52757,24.17003,5.20442,37.18673,,30.30531,17.15314
   Dr Pepper (Ve),16.74306,18.35058,0.0,0.0,9.37787,18.52757,24.17003,5.20442,37.18673,0.0,30.30531,17.15314
  Chupa Chups Grape (Br),12.18203,13.35163,,,11.48648,12.19577,14.10602,1.12918,28.53354,,36.73288,12.08777
   Dr Pepper (Ve),12.18203,13.35163,0.0,0.0,11.48648,12.19577,14.10602,1.12918,28.53354,0.0,36.73288,12.08777
  Chupa Chups Orange (Br),3.51642,3.85404,,,,5.26239,,5.66134,4.15374,,,
   Gihauser (Ve),3.51642,3.85404,0.0,0.0,0.0,5.26239,0.0,5.66134,4.15374,0.0,0.0,0.0
  Crush Orange Soda (Br),11.60708,12.72151,,,22.50358,9.04536,,26.44545,,,,11.39944
   Gihauser (Ve),11.60708,12.72151,0.0,0.0,22.50358,9.04536,0.0,26.44545,0.0,0.0,0.0,11.39944
  Crush Strawberry Soda (Br),11.68601,12.80801,,,20.84525,6.61969,24.94243,3.74302,24.11308,,19.1584,17.72123
   Dr Pepper (Ve),11.68601,12.80801,0.0,0.0,20.84525,6.61969,24.94243,3.74302,24.11308,0.0,19.1584,17.72123
  Diet Coke (Br),0.7518,0.82398,,,3.04132,,,,2.41593,,,
   Munaken (Ve),0.7518,0.82398,0.0,0.0,3.04132,0.0,0.0,0.0,2.41593,0.0,0.0,0.0
  Dr Pepper Cherry (Br),0.74959,0.82153,,,3.03231,,,,2.40879,,,
   Dr Pepper (Ve),0.74959,0.82153,0.0,0.0,3.03231,0.0,0.0,0.0,2.40879,0.0,0.0,0.0
  Dr Pepper Diet (Br),0.18592,0.20379,,,0.75216,,,,0.59749,,,
   Munaken (Ve),0.18592,0.20379,0.0,0.0,0.75216,0.0,0.0,0.0,0.59749,0.0,0.0,0.0
  Fanta Apple (Br),3.45633,3.78819,,,2.31504,2.20217,16.70025,3.74608,,,46.53584,
   Mechou (Ve),3.45633,3.78819,0.0,0.0,2.31504,2.20217,16.70025,3.74608,0.0,0.0,46.53584,0.0
  Gazoz Soda (Br),1.68196,1.84339,,,,1.15245,10.7806,1.96041,,,21.37915,
   Mechou (Ve),1.68196,1.84339,0.0,0.0,0.0,1.15245,10.7806,1.96041,0.0,0.0,21.37915,0.0
 1.5 Lt (Si),79.43135,78.69421,85.78337,100.0,78.85429,80.70373,71.06588,73.14565,80.14126,84.72898,91.63933,88.3328
  Afri Cola (Br),46.95767,46.75758,54.08722,,42.50517,48.30173,49.3515,53.62841,28.91305,50.69636,62.16313,63.78005
    Africola (Ve),46.95767,46.75758,54.08722,0.0,42.50517,48.30173,49.3515,53.62841,28.91305,50.69636,62.16313,63.78005
  Almdudler (Br),18.56557,18.37431,22.67316,,20.09129,17.78135,20.3023,14.43552,11.97789,31.16067,,43.06747
    Africola (Ve),18.56557,18.37431,22.67316,0.0,20.09129,17.78135,20.3023,14.43552,11.97789,31.16067,0.0,43.06747
  Anw Cream Soda (Br),35.67099,35.94538,25.90152,100.0,36.05549,35.76512,33.8036,32.03668,41.29981,46.76863,38.50416,16.31561
   Dr Pepper (Ve),35.67099,35.94538,25.90152,100.0,36.05549,35.76512,33.8036,32.03668,41.29981,46.76863,38.50416,16.31561
  Barq Root Malt (Br),2.70185,2.96127,,,0.8621,2.63564,8.60191,2.32136,1.36468,4.96916,,5.96426
   Gihauser (Ve),2.70185,2.96127,0.0,0.0,0.8621,2.63564,8.60191,2.32136,1.36468,4.96916,0.0,5.96426
  Big Peach Soda (Br),32.67499,31.20108,52.96794,,31.5361,32.54858,37.00255,22.07369,29.55264,48.05822,49.18939,53.05472
    Africola (Ve),32.67499,31.20108,52.96794,0.0,31.5361,32.54858,37.00255,22.07369,29.55264,48.05822,49.18939,53.05472
  Big Red Soda (Br),4.82721,5.2907,,,4.11451,3.76756,15.2817,1.12918,4.32684,8.82797,,16.31561
   Gihauser (Ve),4.82721,5.2907,0.0,0.0,4.11451,3.76756,15.2817,1.12918,4.32684,8.82797,0.0,16.31561
  Bluna Orange (Br),24.93943,24.06615,28.07174,92.0044,29.38831,23.92769,19.93037,15.84927,39.95467,24.7616,31.93911,12.08777
   Dr Pepper (Ve),24.93943,24.06615,28.07174,92.0044,29.38831,23.92769,19.93037,15.84927,39.95467,24.7616,31.93911,12.08777
  Chupa Chups Grape (Br),25.27074,23.26208,50.9446,,22.5407,23.34719,48.44597,8.79474,37.15841,49.96917,51.97569,6.73056
   Dr Pepper (Ve),25.27074,23.26208,50.9446,0.0,22.5407,23.34719,48.44597,8.79474,37.15841,49.96917,51.97569,6.73056
  Chupa Chups Orange (Br),0.71973,0.78881,,,,1.07707,,,2.31281,,,
   Gihauser (Ve),0.71973,0.78881,0.0,0.0,0.0,1.07707,0.0,0.0,2.31281,0.0,0.0,0.0
  Crush Orange Soda (Br),0.44355,0.48613,,,,0.66378,,1.12918,,,,
   Gihauser (Ve),0.44355,0.48613,0.0,0.0,0.0,0.66378,0.0,1.12918,0.0,0.0,0.0,0.0
  Crush Strawberry Soda (Br),33.12205,33.96181,16.59522,100.0,31.16233,35.26746,21.90011,31.29917,45.61463,30.57993,4.35921,18.41704
   Dr Pepper (Ve),33.12205,33.96181,16.59522,100.0,31.16233,35.26746,21.90011,31.29917,45.61463,30.57993,4.35921,18.41704
  Diet Coke (Br),6.33138,6.47381,5.34641,,11.68943,4.66876,3.80716,5.87979,8.47493,9.45547,,
   Munaken (Ve),6.33138,6.47381,5.34641,0.0,11.68943,4.66876,3.80716,5.87979,8.47493,9.45547,0.0,0.0
  Dr Pepper Diet (Br),1.48379,1.62623,,,6.00249,,,,4.76825,,,
   Munaken (Ve),1.48379,1.62623,0.0,0.0,6.00249,0.0,0.0,0.0,4.76825,0.0,0.0,0.0
  Orangina (Br),0.78383,0.85911,,,,1.17303,,,2.51894,,,
   Hiego (Ve),0.78383,0.85911,0.0,0.0,0.0,1.17303,0.0,0.0,2.51894,0.0,0.0,0.0
 2.25 Lt (Si),36.17833,39.65182,,,34.9512,39.09781,16.70025,48.48597,27.13001,6.94646,33.11854,58.54427
  Afri Cola (Br),16.83903,18.45574,,,17.45501,18.74262,,25.957,3.90003,6.94646,,41.26002
    Africola (Ve),16.83903,18.45574,0.0,0.0,17.45501,18.74262,0.0,25.957,3.90003,6.94646,0.0,41.26002
  Almdudler (Br),4.91813,5.39032,,,11.65845,3.04719,,8.41772,,,,15.07049
    Africola (Ve),4.91813,5.39032,0.0,0.0,11.65845,3.04719,0.0,8.41772,0.0,0.0,0.0,15.07049
  Anw Cream Soda (Br),7.65334,8.38818,,,4.24399,9.40142,3.80716,14.08972,4.15374,,7.55,4.71434
   Dr Pepper (Ve),7.65334,8.38818,0.0,0.0,4.24399,9.40142,3.80716,14.08972,4.15374,0.0,7.55,4.71434
  Barq Root Malt (Br),7.02959,7.70453,,,1.30268,10.038,,1.62359,16.23717,,,12.52296
   Gihauser (Ve),7.02959,7.70453,0.0,0.0,1.30268,10.038,0.0,1.62359,16.23717,0.0,0.0,12.52296
  Big Peach Soda (Br),9.64098,10.5666,,,15.41351,8.7259,,13.42302,5.10912,4.96916,,19.17823
