,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,19.42262,19.26328,18.61471,19.41123,18.42818,17.43071,16.7968,17.52039,20.11197,20.16267,19.53811,20.33534,17.4495,18.37788,17.54177,18.26601,19.13264,18.76866,18.17053,18.94227,21.81297,25.00946,23.71662,24.07582,52.08214,47.27227,36.347,41.40519,19.60103,20.07776,19.17963,18.05528,18.22115,16.74248,17.07937,18.80609,21.53484,22.90859,21.85206,23.1845,15.89418,20.28202,15.67401,22.38344,21.8894,20.70238,19.80472,20.37466
 Afri Cola (Br),13.41339,12.96422,13.13058,13.60699,13.98559,11.82416,10.96403,14.11052,13.79272,13.76963,13.96533,13.85776,9.2299,10.57919,13.75207,9.81442,13.29141,12.78749,12.78958,13.5682,15.58882,17.27999,19.43017,15.49982,,,,,14.05853,13.49725,13.75146,13.89892,10.83105,10.31911,10.01837,12.06623,13.24166,12.66642,18.05983,12.6584,12.39714,20.28202,12.61595,17.039,20.5918,17.60683,15.81725,17.39806
  Cola (Fl),13.41339,12.96422,13.13058,13.60699,13.98559,11.82416,10.96403,14.11052,13.79272,13.76963,13.96533,13.85776,9.2299,10.57919,13.75207,9.81442,13.29141,12.78749,12.78958,13.5682,15.58882,17.27999,19.43017,15.49982,0.0,0.0,0.0,0.0,14.05853,13.49725,13.75146,13.89892,10.83105,10.31911,10.01837,12.06623,13.24166,12.66642,18.05983,12.6584,12.39714,20.28202,12.61595,17.039,20.5918,17.60683,15.81725,17.39806
 Almdudler (Br),5.25029,5.8403,5.59724,5.33712,6.14461,6.62802,7.1352,6.08548,5.0344,5.42197,4.9212,4.85724,4.25524,6.45761,5.75298,6.73168,4.85726,5.29856,5.02475,4.91841,10.62371,15.73077,14.70804,11.94169,,,,,4.63651,5.4044,5.39968,4.6962,2.73608,3.55556,2.8688,3.05726,12.13753,10.95591,11.91203,11.77762,,3.01529,6.46382,,9.85616,11.18654,7.31204,8.88655
  Orange (Fl),5.25029,5.8403,5.59724,5.33712,6.14461,6.62802,7.1352,6.08548,5.0344,5.42197,4.9212,4.85724,4.25524,6.45761,5.75298,6.73168,4.85726,5.29856,5.02475,4.91841,10.62371,15.73077,14.70804,11.94169,0.0,0.0,0.0,0.0,4.63651,5.4044,5.39968,4.6962,2.73608,3.55556,2.8688,3.05726,12.13753,10.95591,11.91203,11.77762,0.0,3.01529,6.46382,0.0,9.85616,11.18654,7.31204,8.88655
 Anw Cream Soda (Br),11.18956,10.62081,10.15442,11.25785,9.20261,8.72654,9.71952,10.11258,11.2677,11.2456,9.49189,11.36728,16.15246,11.97998,16.21478,14.27769,11.39994,10.66011,10.67676,11.396,6.67238,7.3275,2.2987,7.15852,52.08214,37.19705,10.13228,32.6759,10.97628,10.82328,11.84116,11.27541,12.24863,10.52872,9.80907,12.69452,12.27632,13.40023,8.01148,11.01766,10.23705,10.86763,7.14735,12.41556,7.37275,6.55379,10.11245,6.37005
  Lamonade (Fl),11.18956,10.62081,10.15442,11.25785,9.20261,8.72654,9.71952,10.11258,11.2677,11.2456,9.49189,11.36728,16.15246,11.97998,16.21478,14.27769,11.39994,10.66011,10.67676,11.396,6.67238,7.3275,2.2987,7.15852,52.08214,37.19705,10.13228,32.6759,10.97628,10.82328,11.84116,11.27541,12.24863,10.52872,9.80907,12.69452,12.27632,13.40023,8.01148,11.01766,10.23705,10.86763,7.14735,12.41556,7.37275,6.55379,10.11245,6.37005
 Barq Root Malt (Br),4.74772,5.7138,5.30621,5.06511,4.40772,5.88213,4.18359,3.73553,5.13106,5.49563,6.06266,5.67797,3.06105,6.80631,3.31205,4.56444,5.12586,6.07882,5.69036,5.44781,,,,,,,,,7.16943,8.47145,8.84811,6.98484,3.71546,3.78895,3.57373,4.07488,1.52996,,,1.19534,1.6529,7.4241,1.4775,4.8847,4.60027,9.19529,7.78281,6.19244
  Cola (Fl),4.74772,5.7138,5.30621,5.06511,4.40772,5.88213,4.18359,3.73553,5.13106,5.49563,6.06266,5.67797,3.06105,6.80631,3.31205,4.56444,5.12586,6.07882,5.69036,5.44781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.16943,8.47145,8.84811,6.98484,3.71546,3.78895,3.57373,4.07488,1.52996,0.0,0.0,1.19534,1.6529,7.4241,1.4775,4.8847,4.60027,9.19529,7.78281,6.19244
