,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,4474.51241,3672.11396,3319.54028,3752.64857,983.82372,807.27312,903.29896,955.12179,3179.08298,2483.23993,2032.53969,2554.82427,311.60571,381.60091,383.70163,242.70251,4249.36367,3417.53217,3162.51773,3666.7271,219.79514,240.63434,136.1889,72.01651,5.3536,13.94745,20.83365,13.90496,1774.93927,1202.04479,1019.77084,1523.75108,1670.41743,1322.26034,1155.22222,1344.00787,389.69754,442.82235,390.00847,356.10602,203.65412,186.5869,318.00619,143.22177,435.80405,518.39958,436.53256,385.56183
 Afri Cola (Br),885.62981,699.68015,604.84601,650.96677,245.39385,156.4739,178.48439,115.31942,596.66956,516.64401,390.72805,508.31363,43.5664,26.56224,35.63357,27.33372,822.17422,680.87501,588.69304,634.53951,63.45559,18.80514,16.15297,16.42726,0.0,0.0,0.0,0.0,428.70057,229.69342,246.51924,274.61254,164.25185,229.51703,164.75498,195.9972,102.62391,39.74173,86.71577,39.66081,59.42392,18.40308,39.20474,22.65574,130.62956,182.32489,67.65128,118.04048
  Cola (Fl),885.62981,699.68015,604.84601,650.96677,245.39385,156.4739,178.48439,115.31942,596.66956,516.64401,390.72805,508.31363,43.5664,26.56224,35.63357,27.33372,822.17422,680.87501,588.69304,634.53951,63.45559,18.80514,16.15297,16.42726,0.0,0.0,0.0,0.0,428.70057,229.69342,246.51924,274.61254,164.25185,229.51703,164.75498,195.9972,102.62391,39.74173,86.71577,39.66081,59.42392,18.40308,39.20474,22.65574,130.62956,182.32489,67.65128,118.04048
 Almdudler (Br),345.10025,180.71027,169.38539,173.61726,173.07595,43.25398,59.70772,43.66921,141.34897,129.73215,82.74749,120.69879,30.67533,7.72414,26.93018,9.24926,327.46904,155.8213,149.73016,160.43225,17.63121,24.88897,19.65523,13.18501,0.0,0.0,0.0,0.0,208.78734,33.46392,36.50034,55.63865,46.36465,50.39233,24.69233,41.30184,32.66243,35.77509,38.32375,35.60165,0.0,0.47751,19.14379,0.0,57.28583,60.60142,50.72518,41.07512
  Orange (Fl),345.10025,180.71027,169.38539,173.61726,173.07595,43.25398,59.70772,43.66921,141.34897,129.73215,82.74749,120.69879,30.67533,7.72414,26.93018,9.24926,327.46904,155.8213,149.73016,160.43225,17.63121,24.88897,19.65523,13.18501,0.0,0.0,0.0,0.0,208.78734,33.46392,36.50034,55.63865,46.36465,50.39233,24.69233,41.30184,32.66243,35.77509,38.32375,35.60165,0.0,0.47751,19.14379,0.0,57.28583,60.60142,50.72518,41.07512
 Anw Cream Soda (Br),606.25471,412.08776,413.54686,628.05216,90.20766,75.35051,114.24754,120.95045,443.8832,307.7697,264.96677,455.12115,72.16385,28.96755,34.33255,51.98056,600.21865,405.56616,384.87411,620.26254,3.96128,5.49323,21.28721,2.04531,2.07478,1.02837,7.38554,5.74431,262.21539,185.33996,179.25805,259.90473,204.68157,176.46265,136.40696,290.55282,26.2961,30.22965,58.92984,32.1005,42.51997,8.19616,13.4152,34.56402,70.54168,11.85934,25.53681,10.93009
  Lamonade (Fl),606.25471,412.08776,413.54686,628.05216,90.20766,75.35051,114.24754,120.95045,443.8832,307.7697,264.96677,455.12115,72.16385,28.96755,34.33255,51.98056,600.21865,405.56616,384.87411,620.26254,3.96128,5.49323,21.28721,2.04531,2.07478,1.02837,7.38554,5.74431,262.21539,185.33996,179.25805,259.90473,204.68157,176.46265,136.40696,290.55282,26.2961,30.22965,58.92984,32.1005,42.51997,8.19616,13.4152,34.56402,70.54168,11.85934,25.53681,10.93009
 Barq Root Malt (Br),259.69541,278.83651,257.74484,227.74071,32.76409,21.44975,33.33154,65.49698,222.47648,194.40142,203.86602,157.61188,4.45484,62.98534,20.54728,4.63185,259.69541,278.83651,257.74484,227.74071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.38398,115.78664,95.00084,95.8143,57.41094,85.78662,132.73189,66.26749,3.51991,0.0,0.0,0.96595,0.93493,6.74572,3.6894,3.6659,53.44565,70.51753,26.32271,61.02707
  Cola (Fl),259.69541,278.83651,257.74484,227.74071,32.76409,21.44975,33.33154,65.49698,222.47648,194.40142,203.86602,157.61188,4.45484,62.98534,20.54728,4.63185,259.69541,278.83651,257.74484,227.74071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.38398,115.78664,95.00084,95.8143,57.41094,85.78662,132.73189,66.26749,3.51991,0.0,0.0,0.96595,0.93493,6.74572,3.6894,3.6659,53.44565,70.51753,26.32271,61.02707
