,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,19.42262,19.26328,18.61471,19.41123,18.42818,17.43071,16.7968,17.52039,20.11197,20.16267,19.53811,20.33534,17.4495,18.37788,17.54177,18.26601,19.13264,18.76866,18.17053,18.94227,21.81297,25.00946,23.71662,24.07582,52.08214,47.27227,36.347,41.40519,19.60103,20.07776,19.17963,18.05528,18.22115,16.74248,17.07937,18.80609,21.53484,22.90859,21.85206,23.1845,15.89418,20.28202,15.67401,22.38344,21.8894,20.70238,19.80472,20.37466
 Apple (Fl),2.26825,2.55697,1.97979,1.94561,3.57211,3.39754,2.68524,2.65013,1.75968,2.2292,1.6352,1.58206,2.14601,2.3307,2.29792,2.531,2.27756,2.44954,1.90295,1.8729,2.24406,4.65612,3.31214,3.1921,,,,,1.87191,1.77964,0.71906,1.41975,2.27274,2.2185,1.88424,1.76498,5.29779,6.93047,6.21393,5.5617,,,,,0.90797,2.529,2.64912,0.567
  1 Lt (Si),0.14602,0.14327,0.0367,0.16204,0.56046,0.52465,0.13502,0.59955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15765,0.15242,0.03935,0.17428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44021,0.38736,0.10424,0.4836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  1.5 Lt (Si),1.38196,1.8229,1.39867,1.45644,2.15415,2.66413,1.7668,1.67187,1.1749,1.65429,1.1163,1.40974,0.66433,0.40729,2.29792,1.10377,1.40298,1.66857,1.46231,1.34677,1.16621,4.65612,0.56592,3.1921,0.0,0.0,0.0,0.0,1.1525,1.22215,0.46607,0.88139,2.00321,2.09221,1.58928,1.43698,2.03622,4.27903,4.82994,4.72271,0.0,0.0,0.0,0.0,0.0,0.86484,0.732,0.0
  300 Ml (Si),0.22746,0.31793,0.28912,0.28768,0.0,0.0,0.0,0.0,0.35249,0.49599,0.45256,0.44203,0.0,0.0,0.0,0.0,0.15257,0.27078,0.08988,0.0897,1.2181,1.15998,3.31214,3.1921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72247,2.58438,2.35061,2.14291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
  500 Ml (Si),1.41868,1.47723,1.29222,1.07241,2.60851,1.69244,2.09183,2.05059,0.83219,1.27114,1.06694,0.48932,2.14601,2.3307,0.47077,2.531,1.36032,1.30082,1.22278,1.11589,2.24406,4.65612,2.45194,0.54541,0.0,0.0,0.0,0.0,0.71942,0.55749,0.25299,0.53836,1.38583,1.02347,1.20083,1.28139,4.4891,5.31535,3.8911,2.80393,0.0,0.0,0.0,0.0,0.90797,2.529,2.64912,0.567
 Citrus (Fl),8.85934,8.1923,8.41367,9.22159,7.89344,8.04623,7.36989,8.38009,9.12889,7.85274,8.4817,8.93303,9.68473,11.1895,11.10229,14.48329,8.73157,8.03487,8.51261,9.25082,8.84981,10.17667,5.35836,7.16591,47.91786,15.53068,26.00103,25.91891,7.60705,6.37633,7.09888,8.80157,10.54005,10.11369,10.57653,9.96816,10.73824,9.91726,7.13363,10.53247,10.27573,13.85702,9.74501,17.41145,4.72795,2.39594,6.36332,3.40856
  1 Lt (Si),3.25194,2.98675,3.0503,3.26565,1.72817,2.58206,2.49341,2.67351,3.72626,3.36868,3.32769,3.41391,4.21755,1.42371,2.76082,4.07092,3.51095,3.17755,3.27113,3.51239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02012,0.65491,0.24221,0.40439,6.77585,7.10411,6.46447,7.95535,0.0,0.0,0.0,0.0,4.81678,1.70625,2.52806,4.8847,3.75472,0.37865,4.61014,2.36842
  1.5 Lt (Si),4.84389,4.4308,5.15994,5.27325,5.41573,3.23243,4.11528,5.05801,4.81233,4.69172,5.85509,5.45717,3.47775,6.29277,3.36694,4.49356,4.60449,4.38022,5.16551,5.06773,6.12328,4.20727,3.21923,6.24211,47.91786,15.53068,26.00103,25.91891,3.10662,4.52,3.07322,4.96158,7.2802,4.94699,8.74808,6.23992,5.33237,4.17721,4.10106,7.62712,5.07646,7.42023,7.24143,2.15242,2.64594,0.86484,0.40072,1.46873
