,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,308.21814,256.19186,230.51388,255.71529,68.52176,60.23556,66.2706,67.70293,216.31003,170.71985,137.9051,170.59142,23.38635,25.23645,26.33818,17.42094,290.79898,237.63354,218.71253,248.81792,17.06225,17.62849,10.41244,5.97037,0.35691,0.92983,1.38891,0.927,118.33825,79.54576,68.71273,97.32184,116.85992,95.11535,80.05427,94.5515,31.16315,34.46764,30.00074,28.44524,14.36855,11.75148,20.80549,9.92278,27.48827,35.31163,30.94065,25.47393
  Africola (Ve),122.6855,119.05706,89.00766,101.1081,35.87875,31.03653,27.6322,26.46411,78.44985,79.30779,55.80006,68.564,8.3569,8.71274,5.5754,6.07999,114.13276,105.63134,82.38149,97.20432,8.55274,13.42572,6.62617,3.90378,0.0,0.0,0.0,0.0,57.56368,36.01045,27.7284,33.4974,28.54706,33.3377,24.18115,36.59698,14.77719,20.13303,14.30563,11.04557,5.13136,2.47865,6.1777,3.3891,16.66621,27.09723,16.61478,16.57905
  Afri Cola (Br),61.66535,52.57305,45.50911,45.28987,15.54166,11.90533,13.86761,8.48653,42.623,38.3739,29.12829,34.72241,3.50069,2.29382,2.51321,2.08093,56.07034,50.74727,44.00804,43.98136,5.59501,1.82578,1.50107,1.30851,0.0,0.0,0.0,0.0,27.48461,15.81987,18.35842,18.567,12.64314,18.39156,12.8462,14.01362,8.55892,3.62609,6.26214,3.12079,4.23859,1.50673,2.97292,1.67027,8.74009,13.2288,5.06943,7.91819
  Almdudler (Br),23.58458,13.01771,12.22632,13.46067,11.43147,3.20309,4.14991,3.04899,9.96977,9.12513,6.17446,9.61144,2.18334,0.68949,1.90195,0.80024,22.2847,11.29877,10.58017,12.4988,1.29988,1.71894,1.64615,0.96187,0.0,0.0,0.0,0.0,13.66589,2.46099,2.6449,3.94417,3.22801,3.5054,1.68845,2.96293,2.65803,2.6745,3.20698,3.85182,0.0,0.0382,1.31137,0.0,4.03265,4.33862,3.37462,2.70175
  Big Peach Soda (Br),37.41997,53.39467,31.16029,42.21923,8.89002,15.85648,9.50274,14.79026,25.85708,31.80876,20.49731,24.23015,2.67287,5.72943,1.16024,3.19882,35.76212,43.51367,27.68134,40.58583,1.65785,9.881,3.47895,1.6334,0.0,0.0,0.0,0.0,16.39758,17.65796,6.61314,10.8479,12.67591,11.44074,9.6465,19.62043,3.56024,13.83244,4.83651,4.07296,0.89277,0.93372,1.89341,1.71883,3.89347,9.52981,8.17073,5.95911
  Fanta Berry (Br),0.0156,0.07163,0.11194,0.13833,0.0156,0.07163,0.11194,0.13833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.07163,0.11194,0.13833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156,0.07163,0.11194,0.13833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Asahi (Ve),0.0,0.0,0.47431,0.0,0.0,0.0,0.47431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47431,0.0
  Paulaner Spezi (Br),0.0,0.0,0.47431,0.0,0.0,0.0,0.47431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47431,0.0
 Dr Pepper (Ve),148.6774,100.57436,98.8849,120.60774,26.38363,23.02895,27.39154,28.92945,108.78494,67.65129,61.5771,82.37959,13.50883,9.89412,9.91626,9.2987,140.14995,95.8947,93.98779,117.91906,8.17054,3.74983,3.5082,1.76168,0.35691,0.92983,1.38891,0.927,45.84769,27.98303,26.43102,47.63836,73.94951,52.20896,43.47621,48.29646,14.22268,10.85367,13.96516,14.84195,8.44012,6.56664,5.22391,5.62169,6.2174,2.96206,9.7886,4.20928
