,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,4474.51241,3672.11396,3319.54028,3752.64857,983.82372,807.27312,903.29896,955.12179,3179.08298,2483.23993,2032.53969,2554.82427,311.60571,381.60091,383.70163,242.70251,4249.36367,3417.53217,3162.51773,3666.7271,219.79514,240.63434,136.1889,72.01651,5.3536,13.94745,20.83365,13.90496,1774.93927,1202.04479,1019.77084,1523.75108,1670.41743,1322.26034,1155.22222,1344.00787,389.69754,442.82235,390.00847,356.10602,203.65412,186.5869,318.00619,143.22177,435.80405,518.39958,436.53256,385.56183
  Africola (Ve),1711.03199,1622.241,1191.37612,1394.28042,537.22572,410.36524,360.3302,361.22702,1067.87505,1095.54341,754.17352,954.9797,105.93122,116.33235,76.8724,78.0737,1609.13886,1436.63571,1106.55126,1348.07256,101.89313,185.60529,84.82486,46.20786,0.0,0.0,0.0,0.0,832.70053,501.5662,371.44773,485.48218,381.57502,435.68775,321.2027,490.99564,178.29662,267.07326,190.04605,126.1304,71.68315,32.48988,85.43357,47.57166,246.77667,385.42391,223.24607,244.10054
  Afri Cola (Br),885.62981,699.68015,604.84601,650.96677,245.39385,156.4739,178.48439,115.31942,596.66956,516.64401,390.72805,508.31363,43.5664,26.56224,35.63357,27.33372,822.17422,680.87501,588.69304,634.53951,63.45559,18.80514,16.15297,16.42726,0.0,0.0,0.0,0.0,428.70057,229.69342,246.51924,274.61254,164.25185,229.51703,164.75498,195.9972,102.62391,39.74173,86.71577,39.66081,59.42392,18.40308,39.20474,22.65574,130.62956,182.32489,67.65128,118.04048
  Almdudler (Br),345.10025,180.71027,169.38539,173.61726,173.07595,43.25398,59.70772,43.66921,141.34897,129.73215,82.74749,120.69879,30.67533,7.72414,26.93018,9.24926,327.46904,155.8213,149.73016,160.43225,17.63121,24.88897,19.65523,13.18501,0.0,0.0,0.0,0.0,208.78734,33.46392,36.50034,55.63865,46.36465,50.39233,24.69233,41.30184,32.66243,35.77509,38.32375,35.60165,0.0,0.47751,19.14379,0.0,57.28583,60.60142,50.72518,41.07512
  Big Peach Soda (Br),480.14589,741.13432,416.02529,568.31312,118.59988,209.9211,121.01866,200.85512,329.85652,449.16725,280.69798,325.96728,31.68949,82.04597,14.30865,41.49072,459.33956,599.22314,367.00863,551.71753,20.80633,141.91118,49.01666,16.59559,0.0,0.0,0.0,0.0,195.05658,237.6926,87.30872,153.84772,170.95852,155.77839,131.75539,253.6966,43.01028,191.55644,65.00653,50.86794,12.25923,13.60929,27.08504,24.91592,58.86128,142.4976,104.86961,84.98494
  Fanta Berry (Br),0.15604,0.71626,1.11943,1.38327,0.15604,0.71626,1.11943,1.38327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15604,0.71626,1.11943,1.38327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15604,0.71626,1.11943,1.38327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Asahi (Ve),0.0,0.0,7.37589,0.0,0.0,0.0,7.37589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37589,0.0
  Paulaner Spezi (Br),0.0,0.0,7.37589,0.0,0.0,0.0,7.37589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37589,0.0
 Dr Pepper (Ve),2097.5494,1393.78148,1374.50735,1736.08846,341.96896,294.48066,364.4188,383.9533,1573.53819,954.33274,882.98771,1219.86153,182.04225,144.96808,127.10084,132.27363,1979.00254,1329.85462,1305.37898,1699.87087,113.19326,49.97941,48.29472,22.31263,5.3536,13.94745,20.83365,13.90496,639.35307,398.24784,382.61029,718.93421,1056.92826,718.79679,602.46507,683.73752,179.93453,129.89957,177.94718,191.88918,118.90398,106.35757,75.73139,82.15446,102.42956,40.47971,135.75342,59.37309
