,Total,Total,Total,Total,CONVENIENCE,CONVENIENCE,CONVENIENCE,CONVENIENCE,GROCERY,GROCERY,GROCERY,GROCERY,ON PREMISES,ON PREMISES,ON PREMISES,ON PREMISES,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE1,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE2,PROVINCE3,PROVINCE3,PROVINCE3,PROVINCE3,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT1,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT2,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT3,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT4,DISTRICT5,DISTRICT5,DISTRICT5,DISTRICT5
,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6
Category,19.42262,19.26328,18.61471,19.41123,18.42818,17.43071,16.7968,17.52039,20.11197,20.16267,19.53811,20.33534,17.4495,18.37788,17.54177,18.26601,19.13264,18.76866,18.17053,18.94227,21.81297,25.00946,23.71662,24.07582,52.08214,47.27227,36.347,41.40519,19.60103,20.07776,19.17963,18.05528,18.22115,16.74248,17.07937,18.80609,21.53484,22.90859,21.85206,23.1845,15.89418,20.28202,15.67401,22.38344,21.8894,20.70238,19.80472,20.37466
  Africola (Ve),15.18992,14.56984,14.53281,15.99701,15.3769,14.71362,12.51031,16.26157,15.70217,14.71833,15.50238,16.37403,11.16137,13.00525,13.75207,11.98167,15.03078,14.19958,14.10963,15.57384,17.92851,22.37162,22.19364,23.70762,,,,,15.99341,14.68234,15.33705,15.57942,12.35561,11.62485,11.20243,14.55103,16.0497,15.89876,19.4525,18.08203,13.51899,20.28202,14.56877,17.039,21.52354,20.70238,17.03665,19.13912
  Afri Cola (Br),13.41339,12.96422,13.13058,13.60699,13.98559,11.82416,10.96403,14.11052,13.79272,13.76963,13.96533,13.85776,9.2299,10.57919,13.75207,9.81442,13.29141,12.78749,12.78958,13.5682,15.58882,17.27999,19.43017,15.49982,,,,,14.05853,13.49725,13.75146,13.89892,10.83105,10.31911,10.01837,12.06623,13.24166,12.66642,18.05983,12.6584,12.39714,20.28202,12.61595,17.039,20.5918,17.60683,15.81725,17.39806
   Cola (Fl),13.41339,12.96422,13.13058,13.60699,13.98559,11.82416,10.96403,14.11052,13.79272,13.76963,13.96533,13.85776,9.2299,10.57919,13.75207,9.81442,13.29141,12.78749,12.78958,13.5682,15.58882,17.27999,19.43017,15.49982,,,,,14.05853,13.49725,13.75146,13.89892,10.83105,10.31911,10.01837,12.06623,13.24166,12.66642,18.05983,12.6584,12.39714,20.28202,12.61595,17.039,20.5918,17.60683,15.81725,17.39806
    1 Lt (Si),3.63331,4.20545,3.64747,4.32154,3.84159,4.33389,2.73039,2.93517,3.46422,4.31533,4.17841,5.08917,4.21595,2.97758,2.64064,2.73899,3.92269,4.47411,3.91154,4.64806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14498,2.377,0.95484,1.81856,4.83497,5.63531,5.10436,6.13557,0.0,0.0,0.0,0.0,9.16923,11.72053,6.28827,12.73357,11.65625,6.90155,9.73816,10.11538
    1.5 Lt (Si),9.12041,8.2124,8.65657,9.37967,7.83293,6.17047,7.07823,7.36742,9.71443,9.2132,9.69542,10.56745,8.61159,7.23581,6.02946,6.47579,8.94596,7.94349,8.30628,9.11941,11.79803,13.6452,14.69744,14.07712,0.0,0.0,0.0,0.0,10.51172,7.93086,9.93943,9.48024,5.26829,6.03555,6.67865,8.30542,10.91738,10.59213,10.53225,11.68769,9.88032,11.9497,11.15929,5.82862,13.96107,12.57912,7.43792,10.89872
    2.25 Lt (Si),3.27058,3.20705,3.18416,3.22473,3.21664,3.30795,3.65368,4.15081,3.76951,3.59399,3.33789,3.23117,0.0,0.0,0.65672,0.0,3.53107,3.41193,3.41469,3.46838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08784,6.41134,5.22371,5.92595,0.71063,0.4937,0.64599,1.00212,1.49591,2.06895,2.0741,1.5217,0.0,0.0,4.94939,0.0,9.03157,4.82681,5.02348,3.81058
    250 Ml (Si),7.0307,6.96902,7.07074,7.03136,7.35835,8.02628,7.05602,8.10606,7.27534,6.8624,7.13829,6.5545,4.44715,4.40447,6.63245,7.28342,6.91533,6.88573,6.84207,6.98129,8.8445,9.08755,11.14057,8.44573,0.0,0.0,0.0,0.0,6.76526,6.29794,7.4244,6.29188,7.02395,6.23269,5.36322,6.98293,6.8999,5.70862,8.56245,5.84271,4.45218,11.33661,7.44404,13.11457,9.74169,11.57045,9.43932,9.10106
    500 Ml (Si),4.97751,5.73181,5.62799,4.56537,5.2352,5.35091,4.75581,4.04111,4.76115,5.96643,5.53115,4.72957,5.74746,5.19208,8.97358,5.00673,5.24592,5.72359,5.94689,4.65621,1.67681,6.43772,1.33219,3.69159,0.0,0.0,0.0,0.0,6.9037,8.39612,7.27176,6.52667,4.20299,3.91116,3.35168,2.79038,4.22035,6.29515,8.53425,6.62632,3.79018,1.43045,6.16532,3.92443,1.48938,4.35752,4.23468,0.54076
